,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wearing_mask,2020-10-09,2020-12-09,61,81.6964286,1.381938,783.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-10-09,2020-12-09,61,83.6434188,0.6411591,3328.0716,state,fb-survey
2,ar,smoothed_wearing_mask,2020-10-09,2020-12-09,61,84.0916953,0.7564371,2337.9293,state,fb-survey
3,az,smoothed_wearing_mask,2020-10-09,2020-12-09,61,87.080811,0.4680781,5134.7713,state,fb-survey
4,ca,smoothed_wearing_mask,2020-10-09,2020-12-09,61,91.9338475,0.1936274,19779.1877,state,fb-survey
5,co,smoothed_wearing_mask,2020-10-09,2020-12-09,61,87.4503075,0.4685556,4998.8747,state,fb-survey
6,ct,smoothed_wearing_mask,2020-10-09,2020-12-09,61,94.5153726,0.3675605,3837.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-10-09,2020-12-09,61,96.7933492,0.8596545,420.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-10-09,2020-12-09,61,93.6308492,0.7191767,1153.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-10-09,2020-12-09,61,85.358087,0.2865683,15218.9989,state,fb-survey
10,ga,smoothed_wearing_mask,2020-10-09,2020-12-09,61,82.6983221,0.4901779,5954.942,state,fb-survey
11,hi,smoothed_wearing_mask,2020-10-09,2020-12-09,61,93.1269675,0.8199615,952.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-10-09,2020-12-09,61,78.5583533,0.6972942,3464.3234,state,fb-survey
13,id,smoothed_wearing_mask,2020-10-09,2020-12-09,61,73.5329632,1.0168207,1882.3423,state,fb-survey
14,il,smoothed_wearing_mask,2020-10-09,2020-12-09,61,89.2445959,0.3107024,9943.0457,state,fb-survey
15,in,smoothed_wearing_mask,2020-10-09,2020-12-09,61,84.9479873,0.470786,5769.0011,state,fb-survey
16,ks,smoothed_wearing_mask,2020-10-09,2020-12-09,61,81.8748058,0.7253099,2820.887,state,fb-survey
17,ky,smoothed_wearing_mask,2020-10-09,2020-12-09,61,88.0247887,0.5382249,3638.8197,state,fb-survey
18,la,smoothed_wearing_mask,2020-10-09,2020-12-09,61,82.5227219,0.6501586,3411.9977,state,fb-survey
19,ma,smoothed_wearing_mask,2020-10-09,2020-12-09,61,94.1085701,0.337689,4862.013,state,fb-survey
20,md,smoothed_wearing_mask,2020-10-09,2020-12-09,61,92.8378722,0.4235757,3705.9975,state,fb-survey
21,me,smoothed_wearing_mask,2020-10-09,2020-12-09,61,86.5692223,0.8010382,1812.0,state,fb-survey
22,mi,smoothed_wearing_mask,2020-10-09,2020-12-09,61,88.2708914,0.3301085,9500.9932,state,fb-survey
23,mn,smoothed_wearing_mask,2020-10-09,2020-12-09,61,89.1855,0.4749301,4276.0364,state,fb-survey
24,mo,smoothed_wearing_mask,2020-10-09,2020-12-09,61,80.9001097,0.5765699,4648.1068,state,fb-survey
25,ms,smoothed_wearing_mask,2020-10-09,2020-12-09,61,81.257485,0.853547,2090.4333,state,fb-survey
26,mt,smoothed_wearing_mask,2020-10-09,2020-12-09,61,82.1893533,1.0028538,1455.526,state,fb-survey
27,nc,smoothed_wearing_mask,2020-10-09,2020-12-09,61,87.2573902,0.3755881,7882.0092,state,fb-survey
28,nd,smoothed_wearing_mask,2020-10-09,2020-12-09,61,70.5984875,1.6130665,797.7385,state,fb-survey
29,ne,smoothed_wearing_mask,2020-10-09,2020-12-09,61,79.7108934,0.9427048,1819.8229,state,fb-survey
30,nh,smoothed_wearing_mask,2020-10-09,2020-12-09,61,88.9383155,0.7641087,1685.0,state,fb-survey
31,nj,smoothed_wearing_mask,2020-10-09,2020-12-09,61,91.9269961,0.3549919,5888.9984,state,fb-survey
32,nm,smoothed_wearing_mask,2020-10-09,2020-12-09,61,89.6571556,0.7415286,1686.4333,state,fb-survey
33,nv,smoothed_wearing_mask,2020-10-09,2020-12-09,61,88.7544723,0.7269599,1888.6401,state,fb-survey
34,ny,smoothed_wearing_mask,2020-10-09,2020-12-09,61,93.6879725,0.2230251,11889.0005,state,fb-survey
35,oh,smoothed_wearing_mask,2020-10-09,2020-12-09,61,85.5847073,0.3556098,9756.0076,state,fb-survey
36,ok,smoothed_wearing_mask,2020-10-09,2020-12-09,61,78.6983928,0.6894075,3527.169,state,fb-survey
37,or,smoothed_wearing_mask,2020-10-09,2020-12-09,61,89.6395954,0.4755837,4106.0346,state,fb-survey
38,pa,smoothed_wearing_mask,2020-10-09,2020-12-09,61,87.7242845,0.3070253,11424.0049,state,fb-survey
39,ri,smoothed_wearing_mask,2020-10-09,2020-12-09,61,93.1402549,0.8062112,982.987,state,fb-survey
40,sc,smoothed_wearing_mask,2020-10-09,2020-12-09,61,83.8491146,0.5395447,4652.0025,state,fb-survey
41,sd,smoothed_wearing_mask,2020-10-09,2020-12-09,61,70.0053795,1.4481048,1001.3244,state,fb-survey
42,tn,smoothed_wearing_mask,2020-10-09,2020-12-09,61,81.02484,0.540684,5259.1633,state,fb-survey
43,tx,smoothed_wearing_mask,2020-10-09,2020-12-09,61,87.1350151,0.2603046,16543.9187,state,fb-survey
