,geo_value,time_value,value,sample_size,trend
0,ak,2020-10-09,81.6964,783.0,25
1,al,2020-10-09,83.6434,3328.0716,47
2,ar,2020-10-09,84.0917,2337.9293,46
3,az,2020-10-09,87.0808,5134.7713,68
4,ca,2020-10-09,91.9338,19779.1877,74
5,co,2020-10-09,87.4503,4998.8747,91
6,ct,2020-10-09,94.5154,3837.0,69
7,dc,2020-10-09,96.7933,420.0,67
8,de,2020-10-09,93.6308,1153.0,55
9,fl,2020-10-09,85.3581,15218.9989,67
10,ga,2020-10-09,82.6983,5954.942,55
11,hi,2020-10-09,93.127,952.0,35
12,ia,2020-10-09,78.5584,3464.3234,32
13,id,2020-10-09,73.533,1882.3423,48
14,il,2020-10-09,89.2446,9943.0457,68
15,in,2020-10-09,84.948,5769.0011,63
16,ks,2020-10-09,81.8748,2820.887,57
17,ky,2020-10-09,88.0248,3638.8197,58
18,la,2020-10-09,82.5227,3411.9977,54
19,ma,2020-10-09,94.1086,4862.013,62
20,md,2020-10-09,92.8379,3705.9975,57
21,me,2020-10-09,86.5692,1812.0,48
22,mi,2020-10-09,88.2709,9500.9932,98
23,mn,2020-10-09,89.1855,4276.0364,54
24,mo,2020-10-09,80.9001,4648.1068,59
25,ms,2020-10-09,81.2575,2090.4333,48
26,mt,2020-10-09,82.1894,1455.526,15
27,nc,2020-10-09,87.2574,7882.0092,42
28,nd,2020-10-09,70.5985,797.7385,17
29,ne,2020-10-09,79.7109,1819.8229,70
30,nh,2020-10-09,88.9383,1685.0,25
31,nj,2020-10-09,91.927,5888.9984,67
32,nm,2020-10-09,89.6572,1686.4333,51
33,nv,2020-10-09,88.7545,1888.6401,64
34,ny,2020-10-09,93.688,11889.0005,75
35,oh,2020-10-09,85.5847,9756.0076,55
36,ok,2020-10-09,78.6984,3527.169,58
37,or,2020-10-09,89.6396,4106.0346,61
38,pa,2020-10-09,87.7243,11424.0049,58
39,ri,2020-10-09,93.1403,982.987,26
40,sc,2020-10-09,83.8491,4652.0025,26
41,sd,2020-10-09,70.0054,1001.3244,33
42,tn,2020-10-09,81.0248,5259.1633,73
43,tx,2020-10-09,87.135,16543.9187,77
44,us,2020-10-09,87.3088,244570.8012,78
45,ut,2020-10-09,83.2694,2960.9789,38
46,va,2020-10-09,89.9561,7195.1992,77
47,vt,2020-10-09,93.562,830.0008,70
48,wa,2020-10-09,91.0418,6679.9635,61
49,wi,2020-10-09,87.4689,6028.0058,52
50,wv,2020-10-09,85.9961,2245.1552,38
51,wy,2020-10-09,60.5586,661.9443,62
52,ak,2020-10-10,81.8241,772.0,57
53,al,2020-10-10,82.8548,3414.0839,75
54,ar,2020-10-10,84.1223,2373.9284,61
55,az,2020-10-10,87.174,5078.5097,67
56,ca,2020-10-10,91.7486,19698.7557,75
57,co,2020-10-10,87.5956,5008.845,100
58,ct,2020-10-10,94.4182,3806.0,62
59,dc,2020-10-10,97.0726,426.0,81
60,de,2020-10-10,93.5776,1159.0,99
61,fl,2020-10-10,85.3254,15225.9993,79
62,ga,2020-10-10,82.8481,6006.9362,61
63,hi,2020-10-10,93.0171,937.0,31
