Category: All categories

Day,Mask: (Alaska)
2020-10-09,20
2020-10-10,24
2020-10-11,37
2020-10-12,62
2020-10-13,0
2020-10-14,32
2020-10-15,41
2020-10-16,22
2020-10-17,48
2020-10-18,11
2020-10-19,61
2020-10-20,50
2020-10-21,33
2020-10-22,11
2020-10-23,11
2020-10-24,24
2020-10-25,34
2020-10-26,42
2020-10-27,20
2020-10-28,42
2020-10-29,54
2020-10-30,32
2020-10-31,36
2020-11-01,24
2020-11-02,32
2020-11-03,0
2020-11-04,32
2020-11-05,23
2020-11-06,42
2020-11-07,19
2020-11-08,42
2020-11-09,30
2020-11-10,69
2020-11-11,29
2020-11-12,9
2020-11-13,52
2020-11-14,33
2020-11-15,56
2020-11-16,10
2020-11-17,41
2020-11-18,54
2020-11-19,31
2020-11-20,51
2020-11-21,23
2020-11-22,34
2020-11-23,64
2020-11-24,30
2020-11-25,10
2020-11-26,42
2020-11-27,35
2020-11-28,23
2020-11-29,22
2020-11-30,19
2020-12-01,0
2020-12-02,30
2020-12-03,20
2020-12-04,31
2020-12-05,66
2020-12-06,55
2020-12-07,32
2020-12-08,31
2020-12-09,21
2020-12-10,31
2020-12-11,10
2020-12-12,35
2020-12-13,33
2020-12-14,41
2020-12-15,31
2020-12-16,31
2020-12-17,21
2020-12-18,43
2020-12-19,11
2020-12-20,0
2020-12-21,42
2020-12-22,32
2020-12-23,11
2020-12-24,0
2020-12-25,13
2020-12-26,13
2020-12-27,35
2020-12-28,10
2020-12-29,21
2020-12-30,31
2020-12-31,11
2021-01-01,24
2021-01-02,44
2021-01-03,44
2021-01-04,29
2021-01-05,0
2021-01-06,19
2021-01-07,20
2021-01-08,0
2021-01-09,77
2021-01-10,11
2021-01-11,39
2021-01-12,39
2021-01-13,10
2021-01-14,31
2021-01-15,72
2021-01-16,100
2021-01-17,23
2021-01-18,51
2021-01-19,51
2021-01-20,10
2021-01-21,10
2021-01-22,31
2021-01-23,46
2021-01-24,22
2021-01-25,40
2021-01-26,20
2021-01-27,10
2021-01-28,31
2021-01-29,42
2021-01-30,23
2021-01-31,45
