Category: All categories

Day,Mask: (Alabama)
2020-10-09,57
2020-10-10,53
2020-10-11,57
2020-10-12,78
2020-10-13,64
2020-10-14,61
2020-10-15,68
2020-10-16,73
2020-10-17,79
2020-10-18,65
2020-10-19,64
2020-10-20,57
2020-10-21,51
2020-10-22,72
2020-10-23,92
2020-10-24,72
2020-10-25,71
2020-10-26,60
2020-10-27,37
2020-10-28,64
2020-10-29,71
2020-10-30,59
2020-10-31,67
2020-11-01,92
2020-11-02,74
2020-11-03,81
2020-11-04,33
2020-11-05,63
2020-11-06,59
2020-11-07,41
2020-11-08,66
2020-11-09,52
2020-11-10,55
2020-11-11,46
2020-11-12,71
2020-11-13,49
2020-11-14,87
2020-11-15,86
2020-11-16,42
2020-11-17,60
2020-11-18,62
2020-11-19,43
2020-11-20,65
2020-11-21,72
2020-11-22,62
2020-11-23,61
2020-11-24,78
2020-11-25,67
2020-11-26,47
2020-11-27,33
2020-11-28,70
2020-11-29,62
2020-11-30,57
2020-12-01,42
2020-12-02,48
2020-12-03,56
2020-12-04,57
2020-12-05,71
2020-12-06,68
2020-12-07,58
2020-12-08,62
2020-12-09,79
2020-12-10,60
2020-12-11,69
2020-12-12,61
2020-12-13,54
2020-12-14,52
2020-12-15,54
2020-12-16,57
2020-12-17,51
2020-12-18,42
2020-12-19,56
2020-12-20,43
2020-12-21,32
2020-12-22,47
2020-12-23,52
2020-12-24,37
2020-12-25,44
2020-12-26,32
2020-12-27,40
2020-12-28,43
2020-12-29,29
2020-12-30,53
2020-12-31,60
2021-01-01,60
2021-01-02,49
2021-01-03,90
2021-01-04,51
2021-01-05,64
2021-01-06,52
2021-01-07,64
2021-01-08,57
2021-01-09,50
2021-01-10,53
2021-01-11,57
2021-01-12,59
2021-01-13,58
2021-01-14,71
2021-01-15,53
2021-01-16,51
2021-01-17,46
2021-01-18,62
2021-01-19,46
2021-01-20,83
2021-01-21,85
2021-01-22,85
2021-01-23,92
2021-01-24,62
2021-01-25,67
2021-01-26,100
2021-01-27,68
2021-01-28,69
2021-01-29,56
2021-01-30,80
2021-01-31,67
