Category: All categories

Day,Mask: (Arkansas)
2020-10-09,45
2020-10-10,58
2020-10-11,39
2020-10-12,48
2020-10-13,49
2020-10-14,69
2020-10-15,49
2020-10-16,81
2020-10-17,68
2020-10-18,65
2020-10-19,79
2020-10-20,46
2020-10-21,67
2020-10-22,52
2020-10-23,45
2020-10-24,85
2020-10-25,56
2020-10-26,57
2020-10-27,67
2020-10-28,43
2020-10-29,53
2020-10-30,70
2020-10-31,76
2020-11-01,53
2020-11-02,64
2020-11-03,43
2020-11-04,23
2020-11-05,20
2020-11-06,19
2020-11-07,30
2020-11-08,37
2020-11-09,46
2020-11-10,50
2020-11-11,77
2020-11-12,39
2020-11-13,77
2020-11-14,68
2020-11-15,43
2020-11-16,40
2020-11-17,61
2020-11-18,97
2020-11-19,31
2020-11-20,54
2020-11-21,53
2020-11-22,29
2020-11-23,18
2020-11-24,64
2020-11-25,59
2020-11-26,38
2020-11-27,28
2020-11-28,78
2020-11-29,52
2020-11-30,58
2020-12-01,35
2020-12-02,43
2020-12-03,56
2020-12-04,48
2020-12-05,33
2020-12-06,48
2020-12-07,51
2020-12-08,69
2020-12-09,57
2020-12-10,48
2020-12-11,47
2020-12-12,70
2020-12-13,46
2020-12-14,52
2020-12-15,35
2020-12-16,66
2020-12-17,44
2020-12-18,33
2020-12-19,58
2020-12-20,29
2020-12-21,22
2020-12-22,36
2020-12-23,46
2020-12-24,57
2020-12-25,43
2020-12-26,41
2020-12-27,24
2020-12-28,43
2020-12-29,56
2020-12-30,25
2020-12-31,37
2021-01-01,53
2021-01-02,53
2021-01-03,28
2021-01-04,32
2021-01-05,17
2021-01-06,48
2021-01-07,88
2021-01-08,38
2021-01-09,46
2021-01-10,50
2021-01-11,56
2021-01-12,54
2021-01-13,39
2021-01-14,76
2021-01-15,34
2021-01-16,47
2021-01-17,54
2021-01-18,38
2021-01-19,34
2021-01-20,41
2021-01-21,100
2021-01-22,55
2021-01-23,60
2021-01-24,49
2021-01-25,45
2021-01-26,38
2021-01-27,53
2021-01-28,66
2021-01-29,43
2021-01-30,64
2021-01-31,61
