Category: All categories

Day,Mask: (Arizona)
2020-10-09,80
2020-10-10,79
2020-10-11,83
2020-10-12,72
2020-10-13,80
2020-10-14,61
2020-10-15,59
2020-10-16,88
2020-10-17,60
2020-10-18,87
2020-10-19,77
2020-10-20,84
2020-10-21,80
2020-10-22,86
2020-10-23,85
2020-10-24,98
2020-10-25,77
2020-10-26,68
2020-10-27,77
2020-10-28,85
2020-10-29,80
2020-10-30,81
2020-10-31,78
2020-11-01,82
2020-11-02,69
2020-11-03,55
2020-11-04,28
2020-11-05,33
2020-11-06,43
2020-11-07,41
2020-11-08,56
2020-11-09,58
2020-11-10,42
2020-11-11,64
2020-11-12,72
2020-11-13,90
2020-11-14,57
2020-11-15,58
2020-11-16,66
2020-11-17,75
2020-11-18,74
2020-11-19,79
2020-11-20,78
2020-11-21,77
2020-11-22,63
2020-11-23,58
2020-11-24,74
2020-11-25,69
2020-11-26,56
2020-11-27,42
2020-11-28,75
2020-11-29,48
2020-11-30,50
2020-12-01,57
2020-12-02,57
2020-12-03,62
2020-12-04,71
2020-12-05,90
2020-12-06,71
2020-12-07,55
2020-12-08,60
2020-12-09,63
2020-12-10,53
2020-12-11,55
2020-12-12,71
2020-12-13,56
2020-12-14,58
2020-12-15,68
2020-12-16,61
2020-12-17,51
2020-12-18,70
2020-12-19,75
2020-12-20,65
2020-12-21,60
2020-12-22,61
2020-12-23,47
2020-12-24,34
2020-12-25,28
2020-12-26,52
2020-12-27,59
2020-12-28,58
2020-12-29,45
2020-12-30,52
2020-12-31,57
2021-01-01,61
2021-01-02,44
2021-01-03,47
2021-01-04,61
2021-01-05,58
2021-01-06,46
2021-01-07,40
2021-01-08,39
2021-01-09,53
2021-01-10,51
2021-01-11,65
2021-01-12,59
2021-01-13,100
2021-01-14,69
2021-01-15,50
2021-01-16,67
2021-01-17,57
2021-01-18,59
2021-01-19,46
2021-01-20,66
2021-01-21,64
2021-01-22,71
2021-01-23,89
2021-01-24,64
2021-01-25,65
2021-01-26,56
2021-01-27,74
2021-01-28,67
2021-01-29,70
2021-01-30,81
2021-01-31,65
