Category: All categories

Day,Mask: (California)
2020-10-09,69
2020-10-10,84
2020-10-11,78
2020-10-12,73
2020-10-13,72
2020-10-14,65
2020-10-15,75
2020-10-16,69
2020-10-17,78
2020-10-18,77
2020-10-19,67
2020-10-20,70
2020-10-21,83
2020-10-22,77
2020-10-23,86
2020-10-24,77
2020-10-25,88
2020-10-26,70
2020-10-27,77
2020-10-28,83
2020-10-29,87
2020-10-30,100
2020-10-31,99
2020-11-01,85
2020-11-02,60
2020-11-03,58
2020-11-04,31
2020-11-05,41
2020-11-06,48
2020-11-07,55
2020-11-08,60
2020-11-09,61
2020-11-10,55
2020-11-11,74
2020-11-12,68
2020-11-13,69
2020-11-14,76
2020-11-15,68
2020-11-16,57
2020-11-17,75
2020-11-18,73
2020-11-19,72
2020-11-20,71
2020-11-21,73
2020-11-22,77
2020-11-23,66
2020-11-24,69
2020-11-25,69
2020-11-26,55
2020-11-27,50
2020-11-28,64
2020-11-29,59
2020-11-30,53
2020-12-01,64
2020-12-02,60
2020-12-03,65
2020-12-04,62
2020-12-05,72
2020-12-06,63
2020-12-07,65
2020-12-08,65
2020-12-09,64
2020-12-10,56
2020-12-11,54
2020-12-12,64
2020-12-13,63
2020-12-14,64
2020-12-15,63
2020-12-16,59
2020-12-17,58
2020-12-18,66
2020-12-19,59
2020-12-20,61
2020-12-21,58
2020-12-22,65
2020-12-23,57
2020-12-24,57
2020-12-25,49
2020-12-26,57
2020-12-27,57
2020-12-28,58
2020-12-29,51
2020-12-30,60
2020-12-31,73
2021-01-01,67
2021-01-02,54
2021-01-03,60
2021-01-04,56
2021-01-05,63
2021-01-06,57
2021-01-07,63
2021-01-08,51
2021-01-09,56
2021-01-10,55
2021-01-11,59
2021-01-12,58
2021-01-13,73
2021-01-14,74
2021-01-15,62
2021-01-16,71
2021-01-17,65
2021-01-18,57
2021-01-19,58
2021-01-20,61
2021-01-21,72
2021-01-22,74
2021-01-23,87
2021-01-24,74
2021-01-25,66
2021-01-26,72
2021-01-27,69
2021-01-28,76
2021-01-29,65
2021-01-30,70
2021-01-31,76
