Category: All categories

Day,Mask: (Connecticut)
2020-10-09,40
2020-10-10,62
2020-10-11,57
2020-10-12,42
2020-10-13,55
2020-10-14,60
2020-10-15,58
2020-10-16,59
2020-10-17,71
2020-10-18,72
2020-10-19,77
2020-10-20,53
2020-10-21,68
2020-10-22,44
2020-10-23,65
2020-10-24,100
2020-10-25,67
2020-10-26,53
2020-10-27,47
2020-10-28,85
2020-10-29,85
2020-10-30,75
2020-10-31,81
2020-11-01,44
2020-11-02,62
2020-11-03,53
2020-11-04,37
2020-11-05,33
2020-11-06,38
2020-11-07,52
2020-11-08,57
2020-11-09,36
2020-11-10,64
2020-11-11,58
2020-11-12,51
2020-11-13,79
2020-11-14,77
2020-11-15,65
2020-11-16,58
2020-11-17,58
2020-11-18,60
2020-11-19,59
2020-11-20,77
2020-11-21,67
2020-11-22,71
2020-11-23,85
2020-11-24,47
2020-11-25,61
2020-11-26,36
2020-11-27,61
2020-11-28,59
2020-11-29,44
2020-11-30,45
2020-12-01,52
2020-12-02,41
2020-12-03,41
2020-12-04,50
2020-12-05,57
2020-12-06,69
2020-12-07,51
2020-12-08,62
2020-12-09,43
2020-12-10,41
2020-12-11,44
2020-12-12,35
2020-12-13,58
2020-12-14,36
2020-12-15,31
2020-12-16,34
2020-12-17,35
2020-12-18,32
2020-12-19,35
2020-12-20,26
2020-12-21,40
2020-12-22,62
2020-12-23,39
2020-12-24,17
2020-12-25,38
2020-12-26,32
2020-12-27,26
2020-12-28,61
2020-12-29,72
2020-12-30,47
2020-12-31,55
2021-01-01,34
2021-01-02,50
2021-01-03,42
2021-01-04,39
2021-01-05,42
2021-01-06,60
2021-01-07,53
2021-01-08,39
2021-01-09,49
2021-01-10,37
2021-01-11,36
2021-01-12,46
2021-01-13,59
2021-01-14,29
2021-01-15,31
2021-01-16,67
2021-01-17,58
2021-01-18,38
2021-01-19,50
2021-01-20,55
2021-01-21,76
2021-01-22,48
2021-01-23,54
2021-01-24,76
2021-01-25,67
2021-01-26,74
2021-01-27,54
2021-01-28,50
2021-01-29,54
2021-01-30,44
2021-01-31,69
