Category: All categories

Day,Mask: (Washington DC (Hagerstown MD))
2020-10-09,67
2020-10-10,75
2020-10-11,67
2020-10-12,63
2020-10-13,63
2020-10-14,65
2020-10-15,54
2020-10-16,62
2020-10-17,77
2020-10-18,78
2020-10-19,77
2020-10-20,59
2020-10-21,66
2020-10-22,60
2020-10-23,62
2020-10-24,73
2020-10-25,77
2020-10-26,75
2020-10-27,60
2020-10-28,51
2020-10-29,76
2020-10-30,67
2020-10-31,86
2020-11-01,59
2020-11-02,57
2020-11-03,58
2020-11-04,37
2020-11-05,38
2020-11-06,39
2020-11-07,51
2020-11-08,49
2020-11-09,42
2020-11-10,43
2020-11-11,58
2020-11-12,68
2020-11-13,64
2020-11-14,87
2020-11-15,61
2020-11-16,76
2020-11-17,77
2020-11-18,85
2020-11-19,60
2020-11-20,81
2020-11-21,68
2020-11-22,86
2020-11-23,74
2020-11-24,59
2020-11-25,61
2020-11-26,63
2020-11-27,43
2020-11-28,55
2020-11-29,53
2020-11-30,52
2020-12-01,63
2020-12-02,61
2020-12-03,65
2020-12-04,65
2020-12-05,58
2020-12-06,56
2020-12-07,59
2020-12-08,62
2020-12-09,40
2020-12-10,65
2020-12-11,57
2020-12-12,43
2020-12-13,75
2020-12-14,47
2020-12-15,46
2020-12-16,25
2020-12-17,43
2020-12-18,35
2020-12-19,56
2020-12-20,47
2020-12-21,59
2020-12-22,34
2020-12-23,35
2020-12-24,42
2020-12-25,37
2020-12-26,38
2020-12-27,52
2020-12-28,51
2020-12-29,50
2020-12-30,52
2020-12-31,50
2021-01-01,47
2021-01-02,45
2021-01-03,61
2021-01-04,42
2021-01-05,60
2021-01-06,58
2021-01-07,52
2021-01-08,45
2021-01-09,37
2021-01-10,63
2021-01-11,42
2021-01-12,49
2021-01-13,50
2021-01-14,41
2021-01-15,61
2021-01-16,65
2021-01-17,49
2021-01-18,52
2021-01-19,58
2021-01-20,67
2021-01-21,74
2021-01-22,76
2021-01-23,100
2021-01-24,79
2021-01-25,61
2021-01-26,66
2021-01-27,73
2021-01-28,96
2021-01-29,84
2021-01-30,67
2021-01-31,63
