Category: All categories

Day,Mask: (Delaware)
2020-10-09,48
2020-10-10,34
2020-10-11,77
2020-10-12,42
2020-10-13,45
2020-10-14,39
2020-10-15,46
2020-10-16,61
2020-10-17,44
2020-10-18,43
2020-10-19,100
2020-10-20,32
2020-10-21,62
2020-10-22,32
2020-10-23,39
2020-10-24,71
2020-10-25,81
2020-10-26,67
2020-10-27,62
2020-10-28,69
2020-10-29,44
2020-10-30,83
2020-10-31,70
2020-11-01,25
2020-11-02,52
2020-11-03,45
2020-11-04,15
2020-11-05,6
2020-11-06,31
2020-11-07,22
2020-11-08,31
2020-11-09,14
2020-11-10,29
2020-11-11,57
2020-11-12,42
2020-11-13,37
2020-11-14,40
2020-11-15,31
2020-11-16,50
2020-11-17,22
2020-11-18,8
2020-11-19,29
2020-11-20,54
2020-11-21,33
2020-11-22,61
2020-11-23,15
2020-11-24,29
2020-11-25,55
2020-11-26,39
2020-11-27,61
2020-11-28,39
2020-11-29,31
2020-11-30,13
2020-12-01,22
2020-12-02,29
2020-12-03,66
2020-12-04,58
2020-12-05,70
2020-12-06,68
2020-12-07,20
2020-12-08,35
2020-12-09,43
2020-12-10,35
2020-12-11,22
2020-12-12,24
2020-12-13,23
2020-12-14,35
2020-12-15,76
2020-12-16,57
2020-12-17,52
2020-12-18,52
2020-12-19,24
2020-12-20,38
2020-12-21,15
2020-12-22,23
2020-12-23,8
2020-12-24,33
2020-12-25,18
2020-12-26,0
2020-12-27,22
2020-12-28,52
2020-12-29,45
2020-12-30,15
2020-12-31,36
2021-01-01,30
2021-01-02,45
2021-01-03,37
2021-01-04,41
2021-01-05,14
2021-01-06,21
2021-01-07,35
2021-01-08,22
2021-01-09,30
2021-01-10,37
2021-01-11,49
2021-01-12,23
2021-01-13,44
2021-01-14,22
2021-01-15,22
2021-01-16,47
2021-01-17,46
2021-01-18,37
2021-01-19,7
2021-01-20,14
2021-01-21,44
2021-01-22,45
2021-01-23,47
2021-01-24,60
2021-01-25,43
2021-01-26,43
2021-01-27,44
2021-01-28,15
2021-01-29,57
2021-01-30,24
2021-01-31,56
