Category: All categories

Day,Mask: (Florida)
2020-10-09,79
2020-10-10,91
2020-10-11,88
2020-10-12,87
2020-10-13,90
2020-10-14,74
2020-10-15,89
2020-10-16,92
2020-10-17,84
2020-10-18,88
2020-10-19,84
2020-10-20,98
2020-10-21,73
2020-10-22,79
2020-10-23,86
2020-10-24,91
2020-10-25,86
2020-10-26,83
2020-10-27,98
2020-10-28,88
2020-10-29,93
2020-10-30,92
2020-10-31,94
2020-11-01,83
2020-11-02,64
2020-11-03,68
2020-11-04,33
2020-11-05,44
2020-11-06,56
2020-11-07,69
2020-11-08,63
2020-11-09,63
2020-11-10,59
2020-11-11,60
2020-11-12,68
2020-11-13,77
2020-11-14,82
2020-11-15,72
2020-11-16,66
2020-11-17,66
2020-11-18,73
2020-11-19,76
2020-11-20,92
2020-11-21,75
2020-11-22,90
2020-11-23,76
2020-11-24,69
2020-11-25,66
2020-11-26,60
2020-11-27,66
2020-11-28,81
2020-11-29,62
2020-11-30,60
2020-12-01,62
2020-12-02,64
2020-12-03,73
2020-12-04,81
2020-12-05,79
2020-12-06,82
2020-12-07,60
2020-12-08,57
2020-12-09,60
2020-12-10,76
2020-12-11,63
2020-12-12,59
2020-12-13,74
2020-12-14,65
2020-12-15,60
2020-12-16,59
2020-12-17,67
2020-12-18,65
2020-12-19,60
2020-12-20,81
2020-12-21,54
2020-12-22,63
2020-12-23,60
2020-12-24,53
2020-12-25,44
2020-12-26,47
2020-12-27,52
2020-12-28,58
2020-12-29,60
2020-12-30,58
2020-12-31,58
2021-01-01,54
2021-01-02,57
2021-01-03,74
2021-01-04,63
2021-01-05,60
2021-01-06,51
2021-01-07,56
2021-01-08,66
2021-01-09,57
2021-01-10,65
2021-01-11,49
2021-01-12,62
2021-01-13,73
2021-01-14,65
2021-01-15,60
2021-01-16,73
2021-01-17,58
2021-01-18,55
2021-01-19,57
2021-01-20,68
2021-01-21,71
2021-01-22,100
2021-01-23,99
2021-01-24,78
2021-01-25,85
2021-01-26,76
2021-01-27,91
2021-01-28,86
2021-01-29,82
2021-01-30,86
2021-01-31,83
