Category: All categories

Day,Mask: (Georgia)
2020-10-09,71
2020-10-10,97
2020-10-11,82
2020-10-12,69
2020-10-13,59
2020-10-14,74
2020-10-15,63
2020-10-16,77
2020-10-17,69
2020-10-18,96
2020-10-19,72
2020-10-20,55
2020-10-21,85
2020-10-22,72
2020-10-23,82
2020-10-24,67
2020-10-25,92
2020-10-26,81
2020-10-27,98
2020-10-28,85
2020-10-29,53
2020-10-30,68
2020-10-31,89
2020-11-01,78
2020-11-02,69
2020-11-03,74
2020-11-04,35
2020-11-05,41
2020-11-06,44
2020-11-07,51
2020-11-08,68
2020-11-09,74
2020-11-10,58
2020-11-11,64
2020-11-12,53
2020-11-13,61
2020-11-14,57
2020-11-15,79
2020-11-16,63
2020-11-17,74
2020-11-18,100
2020-11-19,64
2020-11-20,73
2020-11-21,59
2020-11-22,65
2020-11-23,73
2020-11-24,64
2020-11-25,60
2020-11-26,57
2020-11-27,56
2020-11-28,69
2020-11-29,52
2020-11-30,71
2020-12-01,62
2020-12-02,70
2020-12-03,63
2020-12-04,81
2020-12-05,91
2020-12-06,68
2020-12-07,68
2020-12-08,80
2020-12-09,64
2020-12-10,64
2020-12-11,69
2020-12-12,69
2020-12-13,60
2020-12-14,69
2020-12-15,73
2020-12-16,49
2020-12-17,57
2020-12-18,65
2020-12-19,47
2020-12-20,63
2020-12-21,53
2020-12-22,56
2020-12-23,68
2020-12-24,40
2020-12-25,33
2020-12-26,55
2020-12-27,62
2020-12-28,48
2020-12-29,44
2020-12-30,61
2020-12-31,58
2021-01-01,67
2021-01-02,67
2021-01-03,73
2021-01-04,68
2021-01-05,66
2021-01-06,49
2021-01-07,47
2021-01-08,60
2021-01-09,69
2021-01-10,53
2021-01-11,61
2021-01-12,66
2021-01-13,68
2021-01-14,74
2021-01-15,66
2021-01-16,62
2021-01-17,69
2021-01-18,71
2021-01-19,57
2021-01-20,82
2021-01-21,63
2021-01-22,72
2021-01-23,88
2021-01-24,91
2021-01-25,83
2021-01-26,63
2021-01-27,71
2021-01-28,91
2021-01-29,62
2021-01-30,64
2021-01-31,77
