Category: All categories

Day,Mask: (Idaho)
2020-10-09,36
2020-10-10,29
2020-10-11,42
2020-10-12,51
2020-10-13,39
2020-10-14,40
2020-10-15,44
2020-10-16,31
2020-10-17,50
2020-10-18,38
2020-10-19,44
2020-10-20,56
2020-10-21,35
2020-10-22,18
2020-10-23,44
2020-10-24,61
2020-10-25,46
2020-10-26,51
2020-10-27,73
2020-10-28,51
2020-10-29,66
2020-10-30,31
2020-10-31,72
2020-11-01,40
2020-11-02,30
2020-11-03,20
2020-11-04,15
2020-11-05,24
2020-11-06,24
2020-11-07,57
2020-11-08,34
2020-11-09,49
2020-11-10,84
2020-11-11,28
2020-11-12,21
2020-11-13,53
2020-11-14,44
2020-11-15,66
2020-11-16,33
2020-11-17,45
2020-11-18,42
2020-11-19,42
2020-11-20,100
2020-11-21,67
2020-11-22,69
2020-11-23,30
2020-11-24,21
2020-11-25,49
2020-11-26,40
2020-11-27,32
2020-11-28,18
2020-11-29,46
2020-11-30,28
2020-12-01,28
2020-12-02,34
2020-12-03,21
2020-12-04,55
2020-12-05,32
2020-12-06,41
2020-12-07,33
2020-12-08,25
2020-12-09,34
2020-12-10,54
2020-12-11,54
2020-12-12,51
2020-12-13,13
2020-12-14,34
2020-12-15,8
2020-12-16,29
2020-12-17,38
2020-12-18,31
2020-12-19,24
2020-12-20,14
2020-12-21,31
2020-12-22,17
2020-12-23,33
2020-12-24,14
2020-12-25,21
2020-12-26,25
2020-12-27,37
2020-12-28,26
2020-12-29,17
2020-12-30,30
2020-12-31,26
2021-01-01,14
2021-01-02,32
2021-01-03,48
2021-01-04,24
2021-01-05,12
2021-01-06,43
2021-01-07,16
2021-01-08,28
2021-01-09,26
2021-01-10,39
2021-01-11,24
2021-01-12,16
2021-01-13,20
2021-01-14,21
2021-01-15,25
2021-01-16,44
2021-01-17,26
2021-01-18,25
2021-01-19,8
2021-01-20,37
2021-01-21,46
2021-01-22,21
2021-01-23,27
2021-01-24,49
2021-01-25,36
2021-01-26,33
2021-01-27,24
2021-01-28,45
2021-01-29,37
2021-01-30,36
2021-01-31,37
