Category: All categories

Day,Mask: (Illinois)
2020-10-09,92
2020-10-10,76
2020-10-11,90
2020-10-12,67
2020-10-13,85
2020-10-14,75
2020-10-15,73
2020-10-16,80
2020-10-17,77
2020-10-18,89
2020-10-19,84
2020-10-20,84
2020-10-21,73
2020-10-22,86
2020-10-23,81
2020-10-24,100
2020-10-25,89
2020-10-26,85
2020-10-27,93
2020-10-28,81
2020-10-29,81
2020-10-30,77
2020-10-31,80
2020-11-01,71
2020-11-02,74
2020-11-03,60
2020-11-04,31
2020-11-05,37
2020-11-06,51
2020-11-07,58
2020-11-08,65
2020-11-09,70
2020-11-10,71
2020-11-11,91
2020-11-12,59
2020-11-13,69
2020-11-14,94
2020-11-15,74
2020-11-16,81
2020-11-17,62
2020-11-18,83
2020-11-19,77
2020-11-20,74
2020-11-21,78
2020-11-22,88
2020-11-23,69
2020-11-24,64
2020-11-25,70
2020-11-26,59
2020-11-27,64
2020-11-28,68
2020-11-29,50
2020-11-30,66
2020-12-01,55
2020-12-02,48
2020-12-03,64
2020-12-04,68
2020-12-05,67
2020-12-06,68
2020-12-07,53
2020-12-08,58
2020-12-09,69
2020-12-10,66
2020-12-11,52
2020-12-12,62
2020-12-13,67
2020-12-14,48
2020-12-15,61
2020-12-16,37
2020-12-17,63
2020-12-18,61
2020-12-19,62
2020-12-20,53
2020-12-21,59
2020-12-22,52
2020-12-23,47
2020-12-24,43
2020-12-25,36
2020-12-26,37
2020-12-27,56
2020-12-28,50
2020-12-29,66
2020-12-30,52
2020-12-31,51
2021-01-01,44
2021-01-02,50
2021-01-03,56
2021-01-04,55
2021-01-05,61
2021-01-06,50
2021-01-07,52
2021-01-08,58
2021-01-09,57
2021-01-10,53
2021-01-11,47
2021-01-12,61
2021-01-13,57
2021-01-14,60
2021-01-15,53
2021-01-16,59
2021-01-17,59
2021-01-18,59
2021-01-19,54
2021-01-20,67
2021-01-21,71
2021-01-22,71
2021-01-23,84
2021-01-24,64
2021-01-25,63
2021-01-26,74
2021-01-27,56
2021-01-28,67
2021-01-29,56
2021-01-30,61
2021-01-31,62
