Category: All categories

Day,Mask: (Indiana)
2020-10-09,61
2020-10-10,65
2020-10-11,75
2020-10-12,56
2020-10-13,77
2020-10-14,75
2020-10-15,98
2020-10-16,63
2020-10-17,100
2020-10-18,86
2020-10-19,82
2020-10-20,67
2020-10-21,84
2020-10-22,78
2020-10-23,76
2020-10-24,65
2020-10-25,82
2020-10-26,82
2020-10-27,64
2020-10-28,71
2020-10-29,66
2020-10-30,94
2020-10-31,98
2020-11-01,56
2020-11-02,57
2020-11-03,49
2020-11-04,31
2020-11-05,41
2020-11-06,33
2020-11-07,57
2020-11-08,72
2020-11-09,49
2020-11-10,49
2020-11-11,60
2020-11-12,81
2020-11-13,59
2020-11-14,76
2020-11-15,78
2020-11-16,86
2020-11-17,75
2020-11-18,83
2020-11-19,78
2020-11-20,80
2020-11-21,79
2020-11-22,75
2020-11-23,50
2020-11-24,71
2020-11-25,45
2020-11-26,50
2020-11-27,53
2020-11-28,64
2020-11-29,42
2020-11-30,71
2020-12-01,62
2020-12-02,65
2020-12-03,72
2020-12-04,53
2020-12-05,75
2020-12-06,75
2020-12-07,70
2020-12-08,43
2020-12-09,57
2020-12-10,46
2020-12-11,51
2020-12-12,58
2020-12-13,51
2020-12-14,59
2020-12-15,53
2020-12-16,59
2020-12-17,36
2020-12-18,56
2020-12-19,45
2020-12-20,38
2020-12-21,60
2020-12-22,44
2020-12-23,53
2020-12-24,46
2020-12-25,31
2020-12-26,39
2020-12-27,54
2020-12-28,33
2020-12-29,37
2020-12-30,40
2020-12-31,61
2021-01-01,39
2021-01-02,47
2021-01-03,58
2021-01-04,50
2021-01-05,51
2021-01-06,51
2021-01-07,46
2021-01-08,42
2021-01-09,28
2021-01-10,63
2021-01-11,38
2021-01-12,40
2021-01-13,64
2021-01-14,68
2021-01-15,57
2021-01-16,32
2021-01-17,62
2021-01-18,44
2021-01-19,46
2021-01-20,47
2021-01-21,72
2021-01-22,55
2021-01-23,84
2021-01-24,57
2021-01-25,48
2021-01-26,76
2021-01-27,73
2021-01-28,64
2021-01-29,78
2021-01-30,66
2021-01-31,60
