Category: All categories

Day,Mask: (Kentucky)
2020-10-09,90
2020-10-10,72
2020-10-11,74
2020-10-12,60
2020-10-13,51
2020-10-14,73
2020-10-15,87
2020-10-16,79
2020-10-17,59
2020-10-18,69
2020-10-19,79
2020-10-20,89
2020-10-21,85
2020-10-22,83
2020-10-23,85
2020-10-24,63
2020-10-25,81
2020-10-26,64
2020-10-27,59
2020-10-28,79
2020-10-29,96
2020-10-30,50
2020-10-31,83
2020-11-01,75
2020-11-02,71
2020-11-03,46
2020-11-04,42
2020-11-05,20
2020-11-06,40
2020-11-07,42
2020-11-08,54
2020-11-09,59
2020-11-10,42
2020-11-11,50
2020-11-12,48
2020-11-13,84
2020-11-14,66
2020-11-15,63
2020-11-16,77
2020-11-17,63
2020-11-18,100
2020-11-19,60
2020-11-20,78
2020-11-21,77
2020-11-22,68
2020-11-23,61
2020-11-24,58
2020-11-25,58
2020-11-26,61
2020-11-27,77
2020-11-28,64
2020-11-29,46
2020-11-30,48
2020-12-01,59
2020-12-02,48
2020-12-03,66
2020-12-04,53
2020-12-05,65
2020-12-06,40
2020-12-07,52
2020-12-08,51
2020-12-09,69
2020-12-10,61
2020-12-11,59
2020-12-12,59
2020-12-13,63
2020-12-14,71
2020-12-15,35
2020-12-16,49
2020-12-17,14
2020-12-18,40
2020-12-19,53
2020-12-20,47
2020-12-21,52
2020-12-22,62
2020-12-23,45
2020-12-24,27
2020-12-25,47
2020-12-26,27
2020-12-27,70
2020-12-28,41
2020-12-29,46
2020-12-30,50
2020-12-31,44
2021-01-01,59
2021-01-02,33
2021-01-03,54
2021-01-04,44
2021-01-05,67
2021-01-06,54
2021-01-07,62
2021-01-08,49
2021-01-09,61
2021-01-10,52
2021-01-11,63
2021-01-12,39
2021-01-13,58
2021-01-14,54
2021-01-15,54
2021-01-16,31
2021-01-17,64
2021-01-18,37
2021-01-19,34
2021-01-20,54
2021-01-21,80
2021-01-22,49
2021-01-23,50
2021-01-24,86
2021-01-25,55
2021-01-26,60
2021-01-27,65
2021-01-28,91
2021-01-29,44
2021-01-30,54
2021-01-31,47
