Category: All categories

Day,Mask: (Louisiana)
2020-10-09,53
2020-10-10,84
2020-10-11,66
2020-10-12,39
2020-10-13,76
2020-10-14,66
2020-10-15,69
2020-10-16,65
2020-10-17,87
2020-10-18,53
2020-10-19,66
2020-10-20,86
2020-10-21,62
2020-10-22,70
2020-10-23,61
2020-10-24,100
2020-10-25,71
2020-10-26,79
2020-10-27,93
2020-10-28,74
2020-10-29,73
2020-10-30,71
2020-10-31,98
2020-11-01,47
2020-11-02,86
2020-11-03,62
2020-11-04,35
2020-11-05,46
2020-11-06,39
2020-11-07,58
2020-11-08,33
2020-11-09,51
2020-11-10,39
2020-11-11,56
2020-11-12,56
2020-11-13,58
2020-11-14,46
2020-11-15,96
2020-11-16,37
2020-11-17,78
2020-11-18,78
2020-11-19,69
2020-11-20,94
2020-11-21,47
2020-11-22,47
2020-11-23,53
2020-11-24,51
2020-11-25,79
2020-11-26,36
2020-11-27,55
2020-11-28,70
2020-11-29,74
2020-11-30,64
2020-12-01,37
2020-12-02,63
2020-12-03,66
2020-12-04,68
2020-12-05,61
2020-12-06,65
2020-12-07,62
2020-12-08,76
2020-12-09,62
2020-12-10,63
2020-12-11,59
2020-12-12,78
2020-12-13,49
2020-12-14,65
2020-12-15,62
2020-12-16,45
2020-12-17,66
2020-12-18,41
2020-12-19,40
2020-12-20,54
2020-12-21,54
2020-12-22,32
2020-12-23,70
2020-12-24,43
2020-12-25,44
2020-12-26,53
2020-12-27,66
2020-12-28,63
2020-12-29,45
2020-12-30,44
2020-12-31,67
2021-01-01,58
2021-01-02,67
2021-01-03,77
2021-01-04,45
2021-01-05,46
2021-01-06,44
2021-01-07,45
2021-01-08,46
2021-01-09,41
2021-01-10,39
2021-01-11,61
2021-01-12,58
2021-01-13,54
2021-01-14,47
2021-01-15,47
2021-01-16,94
2021-01-17,82
2021-01-18,63
2021-01-19,40
2021-01-20,61
2021-01-21,76
2021-01-22,77
2021-01-23,51
2021-01-24,97
2021-01-25,57
2021-01-26,75
2021-01-27,93
2021-01-28,73
2021-01-29,27
2021-01-30,61
2021-01-31,80
