Category: All categories

Day,Mask: (Massachusetts)
2020-10-09,84
2020-10-10,84
2020-10-11,90
2020-10-12,84
2020-10-13,72
2020-10-14,62
2020-10-15,75
2020-10-16,67
2020-10-17,72
2020-10-18,83
2020-10-19,75
2020-10-20,74
2020-10-21,76
2020-10-22,90
2020-10-23,71
2020-10-24,97
2020-10-25,86
2020-10-26,86
2020-10-27,96
2020-10-28,88
2020-10-29,77
2020-10-30,68
2020-10-31,77
2020-11-01,93
2020-11-02,77
2020-11-03,82
2020-11-04,38
2020-11-05,75
2020-11-06,68
2020-11-07,76
2020-11-08,71
2020-11-09,54
2020-11-10,72
2020-11-11,79
2020-11-12,89
2020-11-13,77
2020-11-14,77
2020-11-15,91
2020-11-16,81
2020-11-17,83
2020-11-18,94
2020-11-19,93
2020-11-20,76
2020-11-21,81
2020-11-22,85
2020-11-23,79
2020-11-24,71
2020-11-25,62
2020-11-26,56
2020-11-27,60
2020-11-28,63
2020-11-29,69
2020-11-30,53
2020-12-01,57
2020-12-02,70
2020-12-03,74
2020-12-04,68
2020-12-05,74
2020-12-06,72
2020-12-07,65
2020-12-08,68
2020-12-09,78
2020-12-10,72
2020-12-11,75
2020-12-12,75
2020-12-13,67
2020-12-14,65
2020-12-15,60
2020-12-16,51
2020-12-17,42
2020-12-18,58
2020-12-19,64
2020-12-20,38
2020-12-21,48
2020-12-22,64
2020-12-23,45
2020-12-24,45
2020-12-25,61
2020-12-26,52
2020-12-27,65
2020-12-28,74
2020-12-29,71
2020-12-30,51
2020-12-31,76
2021-01-01,59
2021-01-02,65
2021-01-03,69
2021-01-04,68
2021-01-05,55
2021-01-06,55
2021-01-07,43
2021-01-08,43
2021-01-09,62
2021-01-10,72
2021-01-11,59
2021-01-12,56
2021-01-13,55
2021-01-14,64
2021-01-15,72
2021-01-16,86
2021-01-17,70
2021-01-18,74
2021-01-19,72
2021-01-20,78
2021-01-21,69
2021-01-22,52
2021-01-23,100
2021-01-24,92
2021-01-25,83
2021-01-26,100
2021-01-27,79
2021-01-28,92
2021-01-29,84
2021-01-30,95
2021-01-31,70
