Category: All categories

Day,Mask: (Maryland)
2020-10-09,60
2020-10-10,70
2020-10-11,67
2020-10-12,58
2020-10-13,96
2020-10-14,64
2020-10-15,45
2020-10-16,87
2020-10-17,82
2020-10-18,73
2020-10-19,71
2020-10-20,78
2020-10-21,80
2020-10-22,59
2020-10-23,66
2020-10-24,69
2020-10-25,60
2020-10-26,79
2020-10-27,65
2020-10-28,86
2020-10-29,53
2020-10-30,60
2020-10-31,98
2020-11-01,83
2020-11-02,62
2020-11-03,65
2020-11-04,37
2020-11-05,52
2020-11-06,46
2020-11-07,53
2020-11-08,50
2020-11-09,47
2020-11-10,55
2020-11-11,90
2020-11-12,84
2020-11-13,73
2020-11-14,96
2020-11-15,100
2020-11-16,51
2020-11-17,92
2020-11-18,83
2020-11-19,65
2020-11-20,77
2020-11-21,77
2020-11-22,77
2020-11-23,58
2020-11-24,79
2020-11-25,66
2020-11-26,56
2020-11-27,49
2020-11-28,70
2020-11-29,80
2020-11-30,51
2020-12-01,61
2020-12-02,57
2020-12-03,58
2020-12-04,58
2020-12-05,49
2020-12-06,60
2020-12-07,65
2020-12-08,61
2020-12-09,51
2020-12-10,47
2020-12-11,59
2020-12-12,65
2020-12-13,58
2020-12-14,48
2020-12-15,55
2020-12-16,63
2020-12-17,69
2020-12-18,44
2020-12-19,44
2020-12-20,39
2020-12-21,48
2020-12-22,47
2020-12-23,39
2020-12-24,31
2020-12-25,56
2020-12-26,57
2020-12-27,54
2020-12-28,58
2020-12-29,54
2020-12-30,46
2020-12-31,54
2021-01-01,71
2021-01-02,45
2021-01-03,95
2021-01-04,42
2021-01-05,45
2021-01-06,63
2021-01-07,51
2021-01-08,56
2021-01-09,57
2021-01-10,52
2021-01-11,51
2021-01-12,55
2021-01-13,61
2021-01-14,47
2021-01-15,56
2021-01-16,59
2021-01-17,62
2021-01-18,51
2021-01-19,44
2021-01-20,50
2021-01-21,81
2021-01-22,83
2021-01-23,85
2021-01-24,73
2021-01-25,74
2021-01-26,86
2021-01-27,60
2021-01-28,82
2021-01-29,66
2021-01-30,72
2021-01-31,55
