Category: All categories

Day,Mask: (Maine)
2020-10-09,60
2020-10-10,35
2020-10-11,48
2020-10-12,21
2020-10-13,45
2020-10-14,49
2020-10-15,33
2020-10-16,52
2020-10-17,27
2020-10-18,46
2020-10-19,27
2020-10-20,37
2020-10-21,47
2020-10-22,55
2020-10-23,58
2020-10-24,40
2020-10-25,59
2020-10-26,63
2020-10-27,54
2020-10-28,58
2020-10-29,26
2020-10-30,54
2020-10-31,36
2020-11-01,45
2020-11-02,47
2020-11-03,5
2020-11-04,23
2020-11-05,67
2020-11-06,94
2020-11-07,76
2020-11-08,100
2020-11-09,57
2020-11-10,37
2020-11-11,69
2020-11-12,56
2020-11-13,77
2020-11-14,89
2020-11-15,70
2020-11-16,37
2020-11-17,26
2020-11-18,46
2020-11-19,93
2020-11-20,59
2020-11-21,48
2020-11-22,59
2020-11-23,40
2020-11-24,53
2020-11-25,58
2020-11-26,16
2020-11-27,41
2020-11-28,44
2020-11-29,42
2020-11-30,50
2020-12-01,31
2020-12-02,31
2020-12-03,63
2020-12-04,32
2020-12-05,63
2020-12-06,6
2020-12-07,53
2020-12-08,67
2020-12-09,67
2020-12-10,42
2020-12-11,11
2020-12-12,56
2020-12-13,77
2020-12-14,36
2020-12-15,37
2020-12-16,27
2020-12-17,52
2020-12-18,24
2020-12-19,61
2020-12-20,18
2020-12-21,59
2020-12-22,22
2020-12-23,23
2020-12-24,41
2020-12-25,42
2020-12-26,46
2020-12-27,55
2020-12-28,20
2020-12-29,25
2020-12-30,26
2020-12-31,30
2021-01-01,21
2021-01-02,47
2021-01-03,26
2021-01-04,34
2021-01-05,31
2021-01-06,34
2021-01-07,55
2021-01-08,10
2021-01-09,63
2021-01-10,30
2021-01-11,20
2021-01-12,36
2021-01-13,41
2021-01-14,41
2021-01-15,16
2021-01-16,42
2021-01-17,42
2021-01-18,36
2021-01-19,30
2021-01-20,40
2021-01-21,46
2021-01-22,82
2021-01-23,80
2021-01-24,36
2021-01-25,44
2021-01-26,52
2021-01-27,41
2021-01-28,31
2021-01-29,56
2021-01-30,28
2021-01-31,17
