Category: All categories

Day,Mask: (Michigan)
2020-10-09,89
2020-10-10,83
2020-10-11,87
2020-10-12,74
2020-10-13,85
2020-10-14,63
2020-10-15,75
2020-10-16,75
2020-10-17,100
2020-10-18,78
2020-10-19,76
2020-10-20,80
2020-10-21,70
2020-10-22,81
2020-10-23,80
2020-10-24,84
2020-10-25,79
2020-10-26,85
2020-10-27,82
2020-10-28,83
2020-10-29,83
2020-10-30,86
2020-10-31,78
2020-11-01,64
2020-11-02,64
2020-11-03,65
2020-11-04,30
2020-11-05,40
2020-11-06,44
2020-11-07,59
2020-11-08,57
2020-11-09,56
2020-11-10,58
2020-11-11,50
2020-11-12,63
2020-11-13,78
2020-11-14,75
2020-11-15,74
2020-11-16,91
2020-11-17,77
2020-11-18,89
2020-11-19,73
2020-11-20,71
2020-11-21,73
2020-11-22,68
2020-11-23,55
2020-11-24,73
2020-11-25,52
2020-11-26,48
2020-11-27,52
2020-11-28,60
2020-11-29,53
2020-11-30,54
2020-12-01,61
2020-12-02,47
2020-12-03,63
2020-12-04,55
2020-12-05,65
2020-12-06,48
2020-12-07,55
2020-12-08,61
2020-12-09,49
2020-12-10,54
2020-12-11,44
2020-12-12,48
2020-12-13,61
2020-12-14,54
2020-12-15,62
2020-12-16,55
2020-12-17,47
2020-12-18,37
2020-12-19,53
2020-12-20,56
2020-12-21,45
2020-12-22,44
2020-12-23,38
2020-12-24,32
2020-12-25,39
2020-12-26,30
2020-12-27,41
2020-12-28,62
2020-12-29,48
2020-12-30,47
2020-12-31,50
2021-01-01,39
2021-01-02,64
2021-01-03,57
2021-01-04,46
2021-01-05,65
2021-01-06,44
2021-01-07,44
2021-01-08,54
2021-01-09,49
2021-01-10,47
2021-01-11,55
2021-01-12,45
2021-01-13,48
2021-01-14,54
2021-01-15,41
2021-01-16,52
2021-01-17,76
2021-01-18,53
2021-01-19,56
2021-01-20,64
2021-01-21,63
2021-01-22,70
2021-01-23,72
2021-01-24,80
2021-01-25,64
2021-01-26,64
2021-01-27,92
2021-01-28,73
2021-01-29,73
2021-01-30,60
2021-01-31,65
