Category: All categories

Day,Mask: (Minnesota)
2020-10-09,67
2020-10-10,57
2020-10-11,62
2020-10-12,59
2020-10-13,59
2020-10-14,44
2020-10-15,68
2020-10-16,76
2020-10-17,82
2020-10-18,67
2020-10-19,55
2020-10-20,77
2020-10-21,69
2020-10-22,65
2020-10-23,74
2020-10-24,65
2020-10-25,79
2020-10-26,72
2020-10-27,70
2020-10-28,65
2020-10-29,72
2020-10-30,62
2020-10-31,96
2020-11-01,69
2020-11-02,64
2020-11-03,43
2020-11-04,31
2020-11-05,35
2020-11-06,32
2020-11-07,43
2020-11-08,56
2020-11-09,56
2020-11-10,52
2020-11-11,62
2020-11-12,73
2020-11-13,56
2020-11-14,86
2020-11-15,79
2020-11-16,66
2020-11-17,65
2020-11-18,74
2020-11-19,91
2020-11-20,68
2020-11-21,91
2020-11-22,76
2020-11-23,58
2020-11-24,56
2020-11-25,46
2020-11-26,36
2020-11-27,57
2020-11-28,50
2020-11-29,80
2020-11-30,48
2020-12-01,57
2020-12-02,59
2020-12-03,46
2020-12-04,62
2020-12-05,70
2020-12-06,59
2020-12-07,62
2020-12-08,43
2020-12-09,53
2020-12-10,46
2020-12-11,46
2020-12-12,52
2020-12-13,54
2020-12-14,44
2020-12-15,57
2020-12-16,58
2020-12-17,40
2020-12-18,58
2020-12-19,41
2020-12-20,47
2020-12-21,32
2020-12-22,46
2020-12-23,33
2020-12-24,31
2020-12-25,39
2020-12-26,48
2020-12-27,52
2020-12-28,54
2020-12-29,100
2020-12-30,53
2020-12-31,42
2021-01-01,55
2021-01-02,62
2021-01-03,40
2021-01-04,81
2021-01-05,87
2021-01-06,74
2021-01-07,40
2021-01-08,50
2021-01-09,48
2021-01-10,76
2021-01-11,60
2021-01-12,71
2021-01-13,54
2021-01-14,38
2021-01-15,62
2021-01-16,49
2021-01-17,59
2021-01-18,59
2021-01-19,53
2021-01-20,52
2021-01-21,65
2021-01-22,63
2021-01-23,74
2021-01-24,45
2021-01-25,55
2021-01-26,61
2021-01-27,63
2021-01-28,61
2021-01-29,51
2021-01-30,75
2021-01-31,74
