Category: All categories

Day,Mask: (Missouri)
2020-10-09,57
2020-10-10,71
2020-10-11,46
2020-10-12,69
2020-10-13,53
2020-10-14,65
2020-10-15,85
2020-10-16,69
2020-10-17,55
2020-10-18,63
2020-10-19,68
2020-10-20,51
2020-10-21,78
2020-10-22,62
2020-10-23,61
2020-10-24,71
2020-10-25,71
2020-10-26,65
2020-10-27,69
2020-10-28,51
2020-10-29,40
2020-10-30,89
2020-10-31,100
2020-11-01,59
2020-11-02,44
2020-11-03,62
2020-11-04,32
2020-11-05,24
2020-11-06,47
2020-11-07,42
2020-11-08,65
2020-11-09,58
2020-11-10,41
2020-11-11,37
2020-11-12,54
2020-11-13,93
2020-11-14,87
2020-11-15,80
2020-11-16,56
2020-11-17,67
2020-11-18,63
2020-11-19,94
2020-11-20,85
2020-11-21,91
2020-11-22,60
2020-11-23,92
2020-11-24,90
2020-11-25,72
2020-11-26,60
2020-11-27,56
2020-11-28,53
2020-11-29,46
2020-11-30,53
2020-12-01,46
2020-12-02,72
2020-12-03,52
2020-12-04,92
2020-12-05,66
2020-12-06,57
2020-12-07,53
2020-12-08,60
2020-12-09,63
2020-12-10,53
2020-12-11,58
2020-12-12,40
2020-12-13,67
2020-12-14,52
2020-12-15,42
2020-12-16,54
2020-12-17,48
2020-12-18,37
2020-12-19,50
2020-12-20,65
2020-12-21,41
2020-12-22,34
2020-12-23,56
2020-12-24,49
2020-12-25,51
2020-12-26,37
2020-12-27,71
2020-12-28,63
2020-12-29,41
2020-12-30,42
2020-12-31,53
2021-01-01,36
2021-01-02,44
2021-01-03,65
2021-01-04,48
2021-01-05,56
2021-01-06,64
2021-01-07,46
2021-01-08,37
2021-01-09,39
2021-01-10,39
2021-01-11,54
2021-01-12,63
2021-01-13,51
2021-01-14,66
2021-01-15,52
2021-01-16,46
2021-01-17,42
2021-01-18,37
2021-01-19,41
2021-01-20,74
2021-01-21,79
2021-01-22,70
2021-01-23,69
2021-01-24,45
2021-01-25,56
2021-01-26,80
2021-01-27,46
2021-01-28,64
2021-01-29,51
2021-01-30,62
2021-01-31,62
