Category: All categories

Day,Mask: (North Carolina)
2020-10-09,52
2020-10-10,66
2020-10-11,51
2020-10-12,52
2020-10-13,57
2020-10-14,50
2020-10-15,55
2020-10-16,50
2020-10-17,58
2020-10-18,53
2020-10-19,47
2020-10-20,59
2020-10-21,50
2020-10-22,64
2020-10-23,58
2020-10-24,71
2020-10-25,54
2020-10-26,65
2020-10-27,50
2020-10-28,57
2020-10-29,48
2020-10-30,54
2020-10-31,66
2020-11-01,53
2020-11-02,38
2020-11-03,37
2020-11-04,18
2020-11-05,38
2020-11-06,30
2020-11-07,36
2020-11-08,42
2020-11-09,44
2020-11-10,41
2020-11-11,48
2020-11-12,44
2020-11-13,45
2020-11-14,46
2020-11-15,45
2020-11-16,45
2020-11-17,49
2020-11-18,48
2020-11-19,43
2020-11-20,48
2020-11-21,46
2020-11-22,55
2020-11-23,58
2020-11-24,76
2020-11-25,100
2020-11-26,62
2020-11-27,66
2020-11-28,68
2020-11-29,60
2020-11-30,69
2020-12-01,61
2020-12-02,51
2020-12-03,51
2020-12-04,53
2020-12-05,56
2020-12-06,57
2020-12-07,43
2020-12-08,58
2020-12-09,58
2020-12-10,50
2020-12-11,52
2020-12-12,56
2020-12-13,41
2020-12-14,41
2020-12-15,38
2020-12-16,32
2020-12-17,47
2020-12-18,47
2020-12-19,57
2020-12-20,40
2020-12-21,36
2020-12-22,29
2020-12-23,37
2020-12-24,37
2020-12-25,31
2020-12-26,40
2020-12-27,34
2020-12-28,41
2020-12-29,40
2020-12-30,52
2020-12-31,45
2021-01-01,41
2021-01-02,39
2021-01-03,55
2021-01-04,40
2021-01-05,58
2021-01-06,39
2021-01-07,45
2021-01-08,37
2021-01-09,47
2021-01-10,46
2021-01-11,36
2021-01-12,42
2021-01-13,50
2021-01-14,53
2021-01-15,49
2021-01-16,41
2021-01-17,48
2021-01-18,46
2021-01-19,38
2021-01-20,38
2021-01-21,38
2021-01-22,56
2021-01-23,63
2021-01-24,54
2021-01-25,45
2021-01-26,59
2021-01-27,56
2021-01-28,57
2021-01-29,51
2021-01-30,55
2021-01-31,49
