Category: All categories

Day,Mask: (North Dakota)
2020-10-09,26
2020-10-10,49
2020-10-11,17
2020-10-12,43
2020-10-13,24
2020-10-14,19
2020-10-15,25
2020-10-16,20
2020-10-17,29
2020-10-18,6
2020-10-19,29
2020-10-20,87
2020-10-21,25
2020-10-22,34
2020-10-23,15
2020-10-24,23
2020-10-25,22
2020-10-26,24
2020-10-27,38
2020-10-28,38
2020-10-29,48
2020-10-30,50
2020-10-31,28
2020-11-01,34
2020-11-02,34
2020-11-03,14
2020-11-04,12
2020-11-05,14
2020-11-06,12
2020-11-07,15
2020-11-08,11
2020-11-09,9
2020-11-10,18
2020-11-11,24
2020-11-12,42
2020-11-13,19
2020-11-14,100
2020-11-15,55
2020-11-16,34
2020-11-17,28
2020-11-18,43
2020-11-19,34
2020-11-20,30
2020-11-21,44
2020-11-22,32
2020-11-23,24
2020-11-24,19
2020-11-25,25
2020-11-26,49
2020-11-27,16
2020-11-28,17
2020-11-29,5
2020-11-30,32
2020-12-01,9
2020-12-02,42
2020-12-03,19
2020-12-04,9
2020-12-05,49
2020-12-06,17
2020-12-07,14
2020-12-08,5
2020-12-09,18
2020-12-10,37
2020-12-11,5
2020-12-12,27
2020-12-13,21
2020-12-14,18
2020-12-15,5
2020-12-16,25
2020-12-17,0
2020-12-18,20
2020-12-19,11
2020-12-20,23
2020-12-21,15
2020-12-22,16
2020-12-23,11
2020-12-24,6
2020-12-25,0
2020-12-26,6
2020-12-27,11
2020-12-28,47
2020-12-29,15
2020-12-30,20
2020-12-31,11
2021-01-01,0
2021-01-02,17
2021-01-03,17
2021-01-04,9
2021-01-05,15
2021-01-06,10
2021-01-07,10
2021-01-08,10
2021-01-09,27
2021-01-10,32
2021-01-11,32
2021-01-12,9
2021-01-13,14
2021-01-14,23
2021-01-15,15
2021-01-16,28
2021-01-17,38
2021-01-18,29
2021-01-19,14
2021-01-20,5
2021-01-21,33
2021-01-22,24
2021-01-23,33
2021-01-24,16
2021-01-25,19
2021-01-26,14
2021-01-27,9
2021-01-28,5
2021-01-29,14
2021-01-30,28
2021-01-31,21
