Category: All categories

Day,Mask: (Nebraska)
2020-10-09,32
2020-10-10,20
2020-10-11,40
2020-10-12,49
2020-10-13,54
2020-10-14,77
2020-10-15,32
2020-10-16,52
2020-10-17,82
2020-10-18,92
2020-10-19,86
2020-10-20,71
2020-10-21,54
2020-10-22,68
2020-10-23,53
2020-10-24,56
2020-10-25,62
2020-10-26,56
2020-10-27,49
2020-10-28,72
2020-10-29,55
2020-10-30,51
2020-10-31,56
2020-11-01,41
2020-11-02,62
2020-11-03,47
2020-11-04,19
2020-11-05,29
2020-11-06,37
2020-11-07,40
2020-11-08,35
2020-11-09,41
2020-11-10,62
2020-11-11,60
2020-11-12,65
2020-11-13,48
2020-11-14,100
2020-11-15,64
2020-11-16,74
2020-11-17,84
2020-11-18,85
2020-11-19,79
2020-11-20,78
2020-11-21,72
2020-11-22,55
2020-11-23,81
2020-11-24,56
2020-11-25,79
2020-11-26,42
2020-11-27,62
2020-11-28,57
2020-11-29,54
2020-11-30,75
2020-12-01,34
2020-12-02,43
2020-12-03,57
2020-12-04,49
2020-12-05,81
2020-12-06,33
2020-12-07,48
2020-12-08,56
2020-12-09,31
2020-12-10,58
2020-12-11,39
2020-12-12,31
2020-12-13,33
2020-12-14,48
2020-12-15,26
2020-12-16,54
2020-12-17,22
2020-12-18,32
2020-12-19,37
2020-12-20,29
2020-12-21,27
2020-12-22,58
2020-12-23,45
2020-12-24,15
2020-12-25,37
2020-12-26,20
2020-12-27,33
2020-12-28,39
2020-12-29,27
2020-12-30,45
2020-12-31,48
2021-01-01,37
2021-01-02,73
2021-01-03,36
2021-01-04,51
2021-01-05,43
2021-01-06,45
2021-01-07,43
2021-01-08,47
2021-01-09,46
2021-01-10,32
2021-01-11,30
2021-01-12,22
2021-01-13,54
2021-01-14,58
2021-01-15,34
2021-01-16,43
2021-01-17,41
2021-01-18,39
2021-01-19,39
2021-01-20,46
2021-01-21,60
2021-01-22,22
2021-01-23,37
2021-01-24,27
2021-01-25,29
2021-01-26,22
2021-01-27,13
2021-01-28,39
2021-01-29,48
2021-01-30,56
2021-01-31,58
