Category: All categories

Day,Mask: (New Hampshire)
2020-10-09,15
2020-10-10,10
2020-10-11,41
2020-10-12,17
2020-10-13,28
2020-10-14,9
2020-10-15,46
2020-10-16,40
2020-10-17,28
2020-10-18,31
2020-10-19,23
2020-10-20,52
2020-10-21,23
2020-10-22,27
2020-10-23,39
2020-10-24,29
2020-10-25,43
2020-10-26,40
2020-10-27,29
2020-10-28,3
2020-10-29,41
2020-10-30,39
2020-10-31,40
2020-11-01,19
2020-11-02,40
2020-11-03,27
2020-11-04,15
2020-11-05,13
2020-11-06,24
2020-11-07,19
2020-11-08,20
2020-11-09,33
2020-11-10,17
2020-11-11,20
2020-11-12,30
2020-11-13,31
2020-11-14,55
2020-11-15,35
2020-11-16,33
2020-11-17,14
2020-11-18,51
2020-11-19,100
2020-11-20,85
2020-11-21,35
2020-11-22,59
2020-11-23,28
2020-11-24,35
2020-11-25,40
2020-11-26,21
2020-11-27,29
2020-11-28,20
2020-11-29,21
2020-11-30,18
2020-12-01,54
2020-12-02,25
2020-12-03,29
2020-12-04,30
2020-12-05,24
2020-12-06,30
2020-12-07,25
2020-12-08,34
2020-12-09,31
2020-12-10,36
2020-12-11,20
2020-12-12,27
2020-12-13,20
2020-12-14,25
2020-12-15,23
2020-12-16,12
2020-12-17,35
2020-12-18,31
2020-12-19,13
2020-12-20,15
2020-12-21,24
2020-12-22,15
2020-12-23,19
2020-12-24,25
2020-12-25,7
2020-12-26,21
2020-12-27,26
2020-12-28,28
2020-12-29,11
2020-12-30,25
2020-12-31,17
2021-01-01,20
2021-01-02,15
2021-01-03,22
2021-01-04,19
2021-01-05,8
2021-01-06,16
2021-01-07,14
2021-01-08,14
2021-01-09,17
2021-01-10,29
2021-01-11,11
2021-01-12,28
2021-01-13,32
2021-01-14,31
2021-01-15,30
2021-01-16,6
2021-01-17,11
2021-01-18,17
2021-01-19,14
2021-01-20,17
2021-01-21,51
2021-01-22,23
2021-01-23,35
2021-01-24,23
2021-01-25,22
2021-01-26,17
2021-01-27,44
2021-01-28,58
2021-01-29,28
2021-01-30,15
2021-01-31,40
