Category: All categories

Day,Mask: (New Jersey)
2020-10-09,67
2020-10-10,70
2020-10-11,84
2020-10-12,63
2020-10-13,83
2020-10-14,84
2020-10-15,72
2020-10-16,86
2020-10-17,77
2020-10-18,81
2020-10-19,72
2020-10-20,74
2020-10-21,69
2020-10-22,76
2020-10-23,91
2020-10-24,74
2020-10-25,91
2020-10-26,86
2020-10-27,62
2020-10-28,79
2020-10-29,81
2020-10-30,76
2020-10-31,98
2020-11-01,74
2020-11-02,72
2020-11-03,48
2020-11-04,30
2020-11-05,52
2020-11-06,48
2020-11-07,55
2020-11-08,58
2020-11-09,50
2020-11-10,69
2020-11-11,57
2020-11-12,55
2020-11-13,85
2020-11-14,73
2020-11-15,75
2020-11-16,69
2020-11-17,73
2020-11-18,72
2020-11-19,63
2020-11-20,75
2020-11-21,71
2020-11-22,70
2020-11-23,71
2020-11-24,70
2020-11-25,79
2020-11-26,60
2020-11-27,66
2020-11-28,54
2020-11-29,70
2020-11-30,45
2020-12-01,57
2020-12-02,71
2020-12-03,66
2020-12-04,56
2020-12-05,58
2020-12-06,71
2020-12-07,70
2020-12-08,62
2020-12-09,48
2020-12-10,68
2020-12-11,46
2020-12-12,56
2020-12-13,56
2020-12-14,58
2020-12-15,52
2020-12-16,40
2020-12-17,34
2020-12-18,40
2020-12-19,52
2020-12-20,46
2020-12-21,66
2020-12-22,37
2020-12-23,53
2020-12-24,54
2020-12-25,42
2020-12-26,52
2020-12-27,58
2020-12-28,60
2020-12-29,52
2020-12-30,53
2020-12-31,43
2021-01-01,42
2021-01-02,51
2021-01-03,53
2021-01-04,54
2021-01-05,55
2021-01-06,48
2021-01-07,51
2021-01-08,65
2021-01-09,51
2021-01-10,42
2021-01-11,43
2021-01-12,54
2021-01-13,54
2021-01-14,53
2021-01-15,60
2021-01-16,51
2021-01-17,51
2021-01-18,46
2021-01-19,51
2021-01-20,61
2021-01-21,56
2021-01-22,81
2021-01-23,87
2021-01-24,100
2021-01-25,74
2021-01-26,68
2021-01-27,75
2021-01-28,76
2021-01-29,73
2021-01-30,65
2021-01-31,65
