Category: All categories

Day,Mask: (New Mexico)
2020-10-09,68
2020-10-10,45
2020-10-11,59
2020-10-12,70
2020-10-13,49
2020-10-14,50
2020-10-15,61
2020-10-16,62
2020-10-17,55
2020-10-18,15
2020-10-19,78
2020-10-20,71
2020-10-21,62
2020-10-22,72
2020-10-23,27
2020-10-24,55
2020-10-25,47
2020-10-26,47
2020-10-27,81
2020-10-28,49
2020-10-29,80
2020-10-30,60
2020-10-31,80
2020-11-01,65
2020-11-02,39
2020-11-03,26
2020-11-04,26
2020-11-05,34
2020-11-06,36
2020-11-07,36
2020-11-08,57
2020-11-09,65
2020-11-10,41
2020-11-11,100
2020-11-12,49
2020-11-13,59
2020-11-14,51
2020-11-15,67
2020-11-16,54
2020-11-17,52
2020-11-18,48
2020-11-19,35
2020-11-20,46
2020-11-21,15
2020-11-22,61
2020-11-23,63
2020-11-24,36
2020-11-25,38
2020-11-26,10
2020-11-27,29
2020-11-28,44
2020-11-29,46
2020-11-30,17
2020-12-01,55
2020-12-02,30
2020-12-03,31
2020-12-04,27
2020-12-05,64
2020-12-06,78
2020-12-07,35
2020-12-08,35
2020-12-09,36
2020-12-10,40
2020-12-11,27
2020-12-12,74
2020-12-13,48
2020-12-14,58
2020-12-15,50
2020-12-16,36
2020-12-17,31
2020-12-18,34
2020-12-19,51
2020-12-20,25
2020-12-21,19
2020-12-22,46
2020-12-23,33
2020-12-24,29
2020-12-25,22
2020-12-26,15
2020-12-27,38
2020-12-28,35
2020-12-29,35
2020-12-30,43
2020-12-31,45
2021-01-01,14
2021-01-02,18
2021-01-03,58
2021-01-04,38
2021-01-05,43
2021-01-06,37
2021-01-07,68
2021-01-08,22
2021-01-09,36
2021-01-10,18
2021-01-11,21
2021-01-12,30
2021-01-13,35
2021-01-14,39
2021-01-15,60
2021-01-16,24
2021-01-17,38
2021-01-18,46
2021-01-19,46
2021-01-20,59
2021-01-21,27
2021-01-22,50
2021-01-23,34
2021-01-24,48
2021-01-25,65
2021-01-26,69
2021-01-27,54
2021-01-28,32
2021-01-29,69
2021-01-30,70
2021-01-31,36
