Category: All categories

Day,Mask: (Nevada)
2020-10-09,69
2020-10-10,62
2020-10-11,67
2020-10-12,48
2020-10-13,84
2020-10-14,46
2020-10-15,49
2020-10-16,54
2020-10-17,50
2020-10-18,88
2020-10-19,77
2020-10-20,50
2020-10-21,64
2020-10-22,50
2020-10-23,76
2020-10-24,84
2020-10-25,51
2020-10-26,66
2020-10-27,71
2020-10-28,72
2020-10-29,72
2020-10-30,100
2020-10-31,72
2020-11-01,78
2020-11-02,79
2020-11-03,51
2020-11-04,34
2020-11-05,22
2020-11-06,58
2020-11-07,40
2020-11-08,61
2020-11-09,34
2020-11-10,58
2020-11-11,75
2020-11-12,81
2020-11-13,94
2020-11-14,67
2020-11-15,63
2020-11-16,60
2020-11-17,73
2020-11-18,72
2020-11-19,55
2020-11-20,79
2020-11-21,47
2020-11-22,36
2020-11-23,60
2020-11-24,83
2020-11-25,60
2020-11-26,49
2020-11-27,76
2020-11-28,57
2020-11-29,56
2020-11-30,48
2020-12-01,52
2020-12-02,47
2020-12-03,44
2020-12-04,33
2020-12-05,62
2020-12-06,53
2020-12-07,71
2020-12-08,60
2020-12-09,48
2020-12-10,45
2020-12-11,65
2020-12-12,76
2020-12-13,51
2020-12-14,57
2020-12-15,93
2020-12-16,55
2020-12-17,58
2020-12-18,29
2020-12-19,50
2020-12-20,49
2020-12-21,55
2020-12-22,35
2020-12-23,44
2020-12-24,30
2020-12-25,32
2020-12-26,42
2020-12-27,46
2020-12-28,44
2020-12-29,68
2020-12-30,57
2020-12-31,44
2021-01-01,42
2021-01-02,58
2021-01-03,44
2021-01-04,35
2021-01-05,64
2021-01-06,53
2021-01-07,53
2021-01-08,43
2021-01-09,64
2021-01-10,73
2021-01-11,56
2021-01-12,44
2021-01-13,69
2021-01-14,62
2021-01-15,41
2021-01-16,29
2021-01-17,48
2021-01-18,41
2021-01-19,43
2021-01-20,62
2021-01-21,93
2021-01-22,67
2021-01-23,60
2021-01-24,85
2021-01-25,74
2021-01-26,63
2021-01-27,66
2021-01-28,87
2021-01-29,53
2021-01-30,48
2021-01-31,51
