Category: All categories

Day,Mask: (New York)
2020-10-09,97
2020-10-10,90
2020-10-11,86
2020-10-12,76
2020-10-13,74
2020-10-14,77
2020-10-15,75
2020-10-16,72
2020-10-17,85
2020-10-18,94
2020-10-19,80
2020-10-20,88
2020-10-21,87
2020-10-22,79
2020-10-23,85
2020-10-24,94
2020-10-25,77
2020-10-26,79
2020-10-27,80
2020-10-28,88
2020-10-29,74
2020-10-30,100
2020-10-31,100
2020-11-01,71
2020-11-02,71
2020-11-03,63
2020-11-04,40
2020-11-05,50
2020-11-06,50
2020-11-07,53
2020-11-08,64
2020-11-09,72
2020-11-10,64
2020-11-11,65
2020-11-12,73
2020-11-13,63
2020-11-14,82
2020-11-15,85
2020-11-16,71
2020-11-17,73
2020-11-18,78
2020-11-19,78
2020-11-20,74
2020-11-21,81
2020-11-22,83
2020-11-23,79
2020-11-24,86
2020-11-25,76
2020-11-26,61
2020-11-27,63
2020-11-28,73
2020-11-29,76
2020-11-30,56
2020-12-01,61
2020-12-02,66
2020-12-03,58
2020-12-04,69
2020-12-05,72
2020-12-06,81
2020-12-07,76
2020-12-08,60
2020-12-09,64
2020-12-10,65
2020-12-11,49
2020-12-12,67
2020-12-13,66
2020-12-14,57
2020-12-15,61
2020-12-16,62
2020-12-17,59
2020-12-18,47
2020-12-19,63
2020-12-20,61
2020-12-21,58
2020-12-22,54
2020-12-23,52
2020-12-24,52
2020-12-25,58
2020-12-26,63
2020-12-27,58
2020-12-28,50
2020-12-29,57
2020-12-30,71
2020-12-31,69
2021-01-01,63
2021-01-02,70
2021-01-03,64
2021-01-04,54
2021-01-05,68
2021-01-06,61
2021-01-07,54
2021-01-08,60
2021-01-09,61
2021-01-10,55
2021-01-11,62
2021-01-12,52
2021-01-13,56
2021-01-14,67
2021-01-15,59
2021-01-16,61
2021-01-17,65
2021-01-18,64
2021-01-19,62
2021-01-20,60
2021-01-21,74
2021-01-22,82
2021-01-23,81
2021-01-24,96
2021-01-25,76
2021-01-26,93
2021-01-27,79
2021-01-28,80
2021-01-29,82
2021-01-30,85
2021-01-31,78
