Category: All categories

Day,Mask: (Ohio)
2020-10-09,65
2020-10-10,63
2020-10-11,58
2020-10-12,41
2020-10-13,52
2020-10-14,61
2020-10-15,64
2020-10-16,69
2020-10-17,59
2020-10-18,59
2020-10-19,62
2020-10-20,65
2020-10-21,68
2020-10-22,51
2020-10-23,71
2020-10-24,63
2020-10-25,66
2020-10-26,65
2020-10-27,70
2020-10-28,58
2020-10-29,66
2020-10-30,67
2020-10-31,79
2020-11-01,76
2020-11-02,49
2020-11-03,48
2020-11-04,27
2020-11-05,36
2020-11-06,45
2020-11-07,41
2020-11-08,47
2020-11-09,59
2020-11-10,43
2020-11-11,71
2020-11-12,100
2020-11-13,67
2020-11-14,69
2020-11-15,66
2020-11-16,53
2020-11-17,61
2020-11-18,76
2020-11-19,64
2020-11-20,56
2020-11-21,59
2020-11-22,67
2020-11-23,56
2020-11-24,51
2020-11-25,42
2020-11-26,40
2020-11-27,54
2020-11-28,48
2020-11-29,53
2020-11-30,50
2020-12-01,54
2020-12-02,32
2020-12-03,53
2020-12-04,59
2020-12-05,46
2020-12-06,58
2020-12-07,49
2020-12-08,49
2020-12-09,60
2020-12-10,57
2020-12-11,51
2020-12-12,53
2020-12-13,46
2020-12-14,40
2020-12-15,41
2020-12-16,45
2020-12-17,42
2020-12-18,50
2020-12-19,42
2020-12-20,44
2020-12-21,45
2020-12-22,43
2020-12-23,53
2020-12-24,31
2020-12-25,29
2020-12-26,37
2020-12-27,42
2020-12-28,44
2020-12-29,46
2020-12-30,38
2020-12-31,39
2021-01-01,30
2021-01-02,61
2021-01-03,43
2021-01-04,36
2021-01-05,40
2021-01-06,37
2021-01-07,53
2021-01-08,39
2021-01-09,35
2021-01-10,42
2021-01-11,41
2021-01-12,35
2021-01-13,44
2021-01-14,41
2021-01-15,38
2021-01-16,37
2021-01-17,54
2021-01-18,32
2021-01-19,38
2021-01-20,54
2021-01-21,52
2021-01-22,58
2021-01-23,70
2021-01-24,51
2021-01-25,57
2021-01-26,56
2021-01-27,51
2021-01-28,65
2021-01-29,41
2021-01-30,58
2021-01-31,40
