Category: All categories

Day,Mask: (Oklahoma)
2020-10-09,64
2020-10-10,52
2020-10-11,60
2020-10-12,52
2020-10-13,39
2020-10-14,47
2020-10-15,74
2020-10-16,60
2020-10-17,55
2020-10-18,50
2020-10-19,66
2020-10-20,56
2020-10-21,76
2020-10-22,73
2020-10-23,59
2020-10-24,66
2020-10-25,48
2020-10-26,45
2020-10-27,53
2020-10-28,42
2020-10-29,39
2020-10-30,68
2020-10-31,81
2020-11-01,53
2020-11-02,46
2020-11-03,44
2020-11-04,16
2020-11-05,30
2020-11-06,40
2020-11-07,41
2020-11-08,49
2020-11-09,53
2020-11-10,81
2020-11-11,57
2020-11-12,65
2020-11-13,61
2020-11-14,50
2020-11-15,48
2020-11-16,50
2020-11-17,60
2020-11-18,71
2020-11-19,54
2020-11-20,47
2020-11-21,56
2020-11-22,72
2020-11-23,55
2020-11-24,65
2020-11-25,62
2020-11-26,47
2020-11-27,61
2020-11-28,66
2020-11-29,48
2020-11-30,57
2020-12-01,62
2020-12-02,65
2020-12-03,51
2020-12-04,72
2020-12-05,59
2020-12-06,43
2020-12-07,71
2020-12-08,66
2020-12-09,64
2020-12-10,54
2020-12-11,43
2020-12-12,56
2020-12-13,37
2020-12-14,64
2020-12-15,34
2020-12-16,74
2020-12-17,46
2020-12-18,48
2020-12-19,40
2020-12-20,100
2020-12-21,23
2020-12-22,35
2020-12-23,29
2020-12-24,54
2020-12-25,30
2020-12-26,32
2020-12-27,51
2020-12-28,25
2020-12-29,30
2020-12-30,38
2020-12-31,48
2021-01-01,48
2021-01-02,45
2021-01-03,52
2021-01-04,49
2021-01-05,21
2021-01-06,31
2021-01-07,43
2021-01-08,56
2021-01-09,42
2021-01-10,39
2021-01-11,40
2021-01-12,51
2021-01-13,62
2021-01-14,57
2021-01-15,56
2021-01-16,56
2021-01-17,39
2021-01-18,37
2021-01-19,66
2021-01-20,47
2021-01-21,70
2021-01-22,63
2021-01-23,89
2021-01-24,71
2021-01-25,39
2021-01-26,36
2021-01-27,59
2021-01-28,56
2021-01-29,42
2021-01-30,45
2021-01-31,71
