Category: All categories

Day,Mask: (Oregon)
2020-10-09,52
2020-10-10,72
2020-10-11,99
2020-10-12,72
2020-10-13,85
2020-10-14,60
2020-10-15,69
2020-10-16,73
2020-10-17,68
2020-10-18,72
2020-10-19,62
2020-10-20,64
2020-10-21,92
2020-10-22,81
2020-10-23,73
2020-10-24,65
2020-10-25,86
2020-10-26,82
2020-10-27,75
2020-10-28,58
2020-10-29,75
2020-10-30,80
2020-10-31,62
2020-11-01,62
2020-11-02,61
2020-11-03,53
2020-11-04,28
2020-11-05,42
2020-11-06,37
2020-11-07,58
2020-11-08,63
2020-11-09,70
2020-11-10,44
2020-11-11,55
2020-11-12,81
2020-11-13,92
2020-11-14,67
2020-11-15,98
2020-11-16,75
2020-11-17,73
2020-11-18,68
2020-11-19,68
2020-11-20,82
2020-11-21,93
2020-11-22,64
2020-11-23,74
2020-11-24,55
2020-11-25,54
2020-11-26,41
2020-11-27,42
2020-11-28,51
2020-11-29,52
2020-11-30,61
2020-12-01,69
2020-12-02,63
2020-12-03,86
2020-12-04,78
2020-12-05,74
2020-12-06,62
2020-12-07,66
2020-12-08,64
2020-12-09,57
2020-12-10,29
2020-12-11,76
2020-12-12,54
2020-12-13,66
2020-12-14,58
2020-12-15,50
2020-12-16,41
2020-12-17,64
2020-12-18,44
2020-12-19,49
2020-12-20,60
2020-12-21,44
2020-12-22,49
2020-12-23,37
2020-12-24,30
2020-12-25,33
2020-12-26,33
2020-12-27,50
2020-12-28,52
2020-12-29,20
2020-12-30,27
2020-12-31,45
2021-01-01,52
2021-01-02,76
2021-01-03,57
2021-01-04,52
2021-01-05,57
2021-01-06,44
2021-01-07,55
2021-01-08,48
2021-01-09,42
2021-01-10,44
2021-01-11,57
2021-01-12,33
2021-01-13,61
2021-01-14,91
2021-01-15,62
2021-01-16,43
2021-01-17,63
2021-01-18,61
2021-01-19,44
2021-01-20,45
2021-01-21,85
2021-01-22,72
2021-01-23,76
2021-01-24,47
2021-01-25,69
2021-01-26,84
2021-01-27,85
2021-01-28,100
2021-01-29,75
2021-01-30,61
2021-01-31,61
