Category: All categories

Day,Mask: (Pennsylvania)
2020-10-09,52
2020-10-10,41
2020-10-11,42
2020-10-12,46
2020-10-13,49
2020-10-14,49
2020-10-15,53
2020-10-16,53
2020-10-17,51
2020-10-18,45
2020-10-19,50
2020-10-20,42
2020-10-21,50
2020-10-22,59
2020-10-23,49
2020-10-24,59
2020-10-25,59
2020-10-26,47
2020-10-27,52
2020-10-28,48
2020-10-29,62
2020-10-30,54
2020-10-31,53
2020-11-01,42
2020-11-02,36
2020-11-03,38
2020-11-04,22
2020-11-05,30
2020-11-06,27
2020-11-07,32
2020-11-08,38
2020-11-09,41
2020-11-10,37
2020-11-11,47
2020-11-12,43
2020-11-13,48
2020-11-14,45
2020-11-15,50
2020-11-16,46
2020-11-17,60
2020-11-18,100
2020-11-19,85
2020-11-20,55
2020-11-21,71
2020-11-22,46
2020-11-23,43
2020-11-24,48
2020-11-25,48
2020-11-26,40
2020-11-27,41
2020-11-28,50
2020-11-29,46
2020-11-30,35
2020-12-01,34
2020-12-02,48
2020-12-03,48
2020-12-04,49
2020-12-05,49
2020-12-06,50
2020-12-07,40
2020-12-08,38
2020-12-09,50
2020-12-10,38
2020-12-11,30
2020-12-12,40
2020-12-13,31
2020-12-14,41
2020-12-15,35
2020-12-16,27
2020-12-17,32
2020-12-18,29
2020-12-19,22
2020-12-20,33
2020-12-21,25
2020-12-22,24
2020-12-23,32
2020-12-24,24
2020-12-25,25
2020-12-26,33
2020-12-27,32
2020-12-28,33
2020-12-29,28
2020-12-30,32
2020-12-31,35
2021-01-01,36
2021-01-02,41
2021-01-03,36
2021-01-04,27
2021-01-05,38
2021-01-06,24
2021-01-07,40
2021-01-08,30
2021-01-09,39
2021-01-10,34
2021-01-11,34
2021-01-12,32
2021-01-13,42
2021-01-14,46
2021-01-15,33
2021-01-16,37
2021-01-17,35
2021-01-18,31
2021-01-19,32
2021-01-20,30
2021-01-21,45
2021-01-22,54
2021-01-23,59
2021-01-24,58
2021-01-25,56
2021-01-26,32
2021-01-27,44
2021-01-28,46
2021-01-29,38
2021-01-30,46
2021-01-31,44
