Category: All categories

Day,Mask: (Rhode Island)
2020-10-09,17
2020-10-10,31
2020-10-11,18
2020-10-12,50
2020-10-13,27
2020-10-14,67
2020-10-15,51
2020-10-16,67
2020-10-17,19
2020-10-18,66
2020-10-19,49
2020-10-20,43
2020-10-21,48
2020-10-22,44
2020-10-23,44
2020-10-24,48
2020-10-25,52
2020-10-26,37
2020-10-27,100
2020-10-28,37
2020-10-29,49
2020-10-30,39
2020-10-31,93
2020-11-01,53
2020-11-02,27
2020-11-03,21
2020-11-04,21
2020-11-05,16
2020-11-06,40
2020-11-07,67
2020-11-08,21
2020-11-09,51
2020-11-10,61
2020-11-11,32
2020-11-12,35
2020-11-13,83
2020-11-14,66
2020-11-15,64
2020-11-16,42
2020-11-17,34
2020-11-18,29
2020-11-19,35
2020-11-20,29
2020-11-21,13
2020-11-22,43
2020-11-23,46
2020-11-24,24
2020-11-25,37
2020-11-26,31
2020-11-27,37
2020-11-28,38
2020-11-29,31
2020-11-30,21
2020-12-01,40
2020-12-02,40
2020-12-03,23
2020-12-04,53
2020-12-05,12
2020-12-06,25
2020-12-07,33
2020-12-08,29
2020-12-09,12
2020-12-10,41
2020-12-11,24
2020-12-12,55
2020-12-13,31
2020-12-14,11
2020-12-15,42
2020-12-16,30
2020-12-17,30
2020-12-18,19
2020-12-19,54
2020-12-20,13
2020-12-21,25
2020-12-22,31
2020-12-23,26
2020-12-24,40
2020-12-25,8
2020-12-26,40
2020-12-27,6
2020-12-28,30
2020-12-29,24
2020-12-30,30
2020-12-31,24
2021-01-01,13
2021-01-02,44
2021-01-03,24
2021-01-04,28
2021-01-05,34
2021-01-06,40
2021-01-07,17
2021-01-08,35
2021-01-09,19
2021-01-10,25
2021-01-11,29
2021-01-12,12
2021-01-13,48
2021-01-14,18
2021-01-15,36
2021-01-16,25
2021-01-17,43
2021-01-18,23
2021-01-19,17
2021-01-20,17
2021-01-21,56
2021-01-22,35
2021-01-23,69
2021-01-24,30
2021-01-25,61
2021-01-26,62
2021-01-27,33
2021-01-28,47
2021-01-29,29
2021-01-30,39
2021-01-31,37
