Category: All categories

Day,Mask: (South Dakota)
2020-10-09,43
2020-10-10,16
2020-10-11,22
2020-10-12,14
2020-10-13,53
2020-10-14,20
2020-10-15,34
2020-10-16,28
2020-10-17,22
2020-10-18,30
2020-10-19,27
2020-10-20,27
2020-10-21,25
2020-10-22,19
2020-10-23,33
2020-10-24,51
2020-10-25,7
2020-10-26,19
2020-10-27,40
2020-10-28,41
2020-10-29,39
2020-10-30,21
2020-10-31,30
2020-11-01,30
2020-11-02,14
2020-11-03,25
2020-11-04,16
2020-11-05,10
2020-11-06,17
2020-11-07,20
2020-11-08,28
2020-11-09,37
2020-11-10,48
2020-11-11,51
2020-11-12,38
2020-11-13,26
2020-11-14,29
2020-11-15,64
2020-11-16,51
2020-11-17,45
2020-11-18,100
2020-11-19,82
2020-11-20,60
2020-11-21,59
2020-11-22,36
2020-11-23,39
2020-11-24,33
2020-11-25,0
2020-11-26,14
2020-11-27,33
2020-11-28,29
2020-11-29,28
2020-11-30,44
2020-12-01,50
2020-12-02,38
2020-12-03,20
2020-12-04,41
2020-12-05,22
2020-12-06,43
2020-12-07,19
2020-12-08,19
2020-12-09,41
2020-12-10,7
2020-12-11,40
2020-12-12,22
2020-12-13,36
2020-12-14,7
2020-12-15,41
2020-12-16,48
2020-12-17,33
2020-12-18,41
2020-12-19,15
2020-12-20,22
2020-12-21,32
2020-12-22,21
2020-12-23,7
2020-12-24,22
2020-12-25,25
2020-12-26,31
2020-12-27,22
2020-12-28,13
2020-12-29,20
2020-12-30,28
2020-12-31,13
2021-01-01,36
2021-01-02,21
2021-01-03,42
2021-01-04,12
2021-01-05,13
2021-01-06,6
2021-01-07,25
2021-01-08,6
2021-01-09,21
2021-01-10,21
2021-01-11,0
2021-01-12,19
2021-01-13,27
2021-01-14,19
2021-01-15,13
2021-01-16,37
2021-01-17,35
2021-01-18,26
2021-01-19,26
2021-01-20,6
2021-01-21,44
2021-01-22,20
2021-01-23,29
2021-01-24,22
2021-01-25,25
2021-01-26,19
2021-01-27,46
2021-01-28,26
2021-01-29,47
2021-01-30,31
2021-01-31,23
