Category: All categories

Day,Mask: (Tennessee)
2020-10-09,65
2020-10-10,72
2020-10-11,86
2020-10-12,62
2020-10-13,85
2020-10-14,86
2020-10-15,74
2020-10-16,87
2020-10-17,68
2020-10-18,88
2020-10-19,75
2020-10-20,87
2020-10-21,75
2020-10-22,79
2020-10-23,75
2020-10-24,92
2020-10-25,85
2020-10-26,100
2020-10-27,84
2020-10-28,94
2020-10-29,79
2020-10-30,98
2020-10-31,91
2020-11-01,79
2020-11-02,66
2020-11-03,50
2020-11-04,33
2020-11-05,45
2020-11-06,51
2020-11-07,49
2020-11-08,60
2020-11-09,65
2020-11-10,54
2020-11-11,48
2020-11-12,66
2020-11-13,82
2020-11-14,73
2020-11-15,77
2020-11-16,71
2020-11-17,78
2020-11-18,92
2020-11-19,74
2020-11-20,59
2020-11-21,84
2020-11-22,81
2020-11-23,83
2020-11-24,71
2020-11-25,60
2020-11-26,57
2020-11-27,63
2020-11-28,61
2020-11-29,54
2020-11-30,50
2020-12-01,59
2020-12-02,49
2020-12-03,55
2020-12-04,70
2020-12-05,68
2020-12-06,73
2020-12-07,65
2020-12-08,64
2020-12-09,75
2020-12-10,68
2020-12-11,68
2020-12-12,71
2020-12-13,69
2020-12-14,65
2020-12-15,59
2020-12-16,63
2020-12-17,67
2020-12-18,65
2020-12-19,62
2020-12-20,73
2020-12-21,78
2020-12-22,48
2020-12-23,55
2020-12-24,49
2020-12-25,38
2020-12-26,46
2020-12-27,45
2020-12-28,61
2020-12-29,66
2020-12-30,49
2020-12-31,58
2021-01-01,57
2021-01-02,60
2021-01-03,54
2021-01-04,69
2021-01-05,77
2021-01-06,43
2021-01-07,51
2021-01-08,48
2021-01-09,54
2021-01-10,63
2021-01-11,35
2021-01-12,53
2021-01-13,61
2021-01-14,65
2021-01-15,63
2021-01-16,63
2021-01-17,66
2021-01-18,46
2021-01-19,58
2021-01-20,72
2021-01-21,85
2021-01-22,72
2021-01-23,99
2021-01-24,92
2021-01-25,77
2021-01-26,66
2021-01-27,62
2021-01-28,81
2021-01-29,75
2021-01-30,70
2021-01-31,62
