Category: All categories

Day,Mask: (Texas)
2020-10-09,74
2020-10-10,69
2020-10-11,61
2020-10-12,71
2020-10-13,63
2020-10-14,63
2020-10-15,75
2020-10-16,81
2020-10-17,77
2020-10-18,78
2020-10-19,65
2020-10-20,70
2020-10-21,73
2020-10-22,68
2020-10-23,74
2020-10-24,87
2020-10-25,93
2020-10-26,74
2020-10-27,73
2020-10-28,61
2020-10-29,86
2020-10-30,82
2020-10-31,100
2020-11-01,58
2020-11-02,70
2020-11-03,48
2020-11-04,33
2020-11-05,39
2020-11-06,47
2020-11-07,49
2020-11-08,55
2020-11-09,66
2020-11-10,66
2020-11-11,63
2020-11-12,73
2020-11-13,63
2020-11-14,64
2020-11-15,69
2020-11-16,57
2020-11-17,62
2020-11-18,67
2020-11-19,72
2020-11-20,60
2020-11-21,61
2020-11-22,67
2020-11-23,59
2020-11-24,60
2020-11-25,65
2020-11-26,49
2020-11-27,55
2020-11-28,62
2020-11-29,58
2020-11-30,55
2020-12-01,56
2020-12-02,59
2020-12-03,64
2020-12-04,62
2020-12-05,70
2020-12-06,65
2020-12-07,58
2020-12-08,63
2020-12-09,57
2020-12-10,53
2020-12-11,48
2020-12-12,60
2020-12-13,50
2020-12-14,58
2020-12-15,49
2020-12-16,59
2020-12-17,59
2020-12-18,51
2020-12-19,63
2020-12-20,55
2020-12-21,53
2020-12-22,51
2020-12-23,43
2020-12-24,42
2020-12-25,46
2020-12-26,39
2020-12-27,51
2020-12-28,44
2020-12-29,51
2020-12-30,52
2020-12-31,55
2021-01-01,41
2021-01-02,59
2021-01-03,57
2021-01-04,50
2021-01-05,62
2021-01-06,47
2021-01-07,49
2021-01-08,42
2021-01-09,57
2021-01-10,55
2021-01-11,50
2021-01-12,51
2021-01-13,59
2021-01-14,50
2021-01-15,57
2021-01-16,55
2021-01-17,62
2021-01-18,51
2021-01-19,52
2021-01-20,59
2021-01-21,72
2021-01-22,69
2021-01-23,73
2021-01-24,86
2021-01-25,62
2021-01-26,74
2021-01-27,68
2021-01-28,61
2021-01-29,59
2021-01-30,70
2021-01-31,59
