Category: All categories

Day,Mask: (United States)
2020-10-09,78
2020-10-10,84
2020-10-11,83
2020-10-12,73
2020-10-13,77
2020-10-14,82
2020-10-15,80
2020-10-16,83
2020-10-17,85
2020-10-18,88
2020-10-19,79
2020-10-20,82
2020-10-21,80
2020-10-22,80
2020-10-23,86
2020-10-24,91
2020-10-25,91
2020-10-26,80
2020-10-27,84
2020-10-28,85
2020-10-29,83
2020-10-30,94
2020-10-31,100
2020-11-01,76
2020-11-02,76
2020-11-03,61
2020-11-04,34
2020-11-05,48
2020-11-06,51
2020-11-07,58
2020-11-08,68
2020-11-09,70
2020-11-10,64
2020-11-11,72
2020-11-12,74
2020-11-13,80
2020-11-14,85
2020-11-15,80
2020-11-16,73
2020-11-17,79
2020-11-18,90
2020-11-19,84
2020-11-20,77
2020-11-21,83
2020-11-22,78
2020-11-23,78
2020-11-24,74
2020-11-25,72
2020-11-26,62
2020-11-27,65
2020-11-28,71
2020-11-29,69
2020-11-30,64
2020-12-01,63
2020-12-02,61
2020-12-03,66
2020-12-04,68
2020-12-05,75
2020-12-06,69
2020-12-07,69
2020-12-08,66
2020-12-09,66
2020-12-10,67
2020-12-11,66
2020-12-12,68
2020-12-13,68
2020-12-14,60
2020-12-15,58
2020-12-16,59
2020-12-17,57
2020-12-18,59
2020-12-19,64
2020-12-20,65
2020-12-21,54
2020-12-22,53
2020-12-23,51
2020-12-24,47
2020-12-25,46
2020-12-26,48
2020-12-27,58
2020-12-28,57
2020-12-29,55
2020-12-30,59
2020-12-31,59
2021-01-01,52
2021-01-02,62
2021-01-03,68
2021-01-04,59
2021-01-05,60
2021-01-06,57
2021-01-07,60
2021-01-08,57
2021-01-09,56
2021-01-10,58
2021-01-11,51
2021-01-12,57
2021-01-13,64
2021-01-14,67
2021-01-15,61
2021-01-16,68
2021-01-17,65
2021-01-18,63
2021-01-19,58
2021-01-20,64
2021-01-21,76
2021-01-22,78
2021-01-23,88
2021-01-24,81
2021-01-25,78
2021-01-26,80
2021-01-27,81
2021-01-28,83
2021-01-29,72
2021-01-30,73
2021-01-31,76
