Category: All categories

Day,Mask: (Utah)
2020-10-09,46
2020-10-10,27
2020-10-11,53
2020-10-12,37
2020-10-13,46
2020-10-14,39
2020-10-15,49
2020-10-16,56
2020-10-17,60
2020-10-18,55
2020-10-19,42
2020-10-20,37
2020-10-21,53
2020-10-22,48
2020-10-23,55
2020-10-24,32
2020-10-25,55
2020-10-26,70
2020-10-27,56
2020-10-28,42
2020-10-29,48
2020-10-30,59
2020-10-31,69
2020-11-01,34
2020-11-02,30
2020-11-03,36
2020-11-04,18
2020-11-05,28
2020-11-06,29
2020-11-07,31
2020-11-08,30
2020-11-09,100
2020-11-10,57
2020-11-11,65
2020-11-12,41
2020-11-13,31
2020-11-14,44
2020-11-15,27
2020-11-16,47
2020-11-17,49
2020-11-18,58
2020-11-19,49
2020-11-20,21
2020-11-21,23
2020-11-22,48
2020-11-23,51
2020-11-24,37
2020-11-25,40
2020-11-26,34
2020-11-27,18
2020-11-28,53
2020-11-29,28
2020-11-30,20
2020-12-01,45
2020-12-02,38
2020-12-03,48
2020-12-04,62
2020-12-05,36
2020-12-06,31
2020-12-07,25
2020-12-08,37
2020-12-09,45
2020-12-10,36
2020-12-11,36
2020-12-12,22
2020-12-13,43
2020-12-14,30
2020-12-15,45
2020-12-16,26
2020-12-17,38
2020-12-18,24
2020-12-19,26
2020-12-20,36
2020-12-21,26
2020-12-22,20
2020-12-23,19
2020-12-24,26
2020-12-25,27
2020-12-26,44
2020-12-27,16
2020-12-28,34
2020-12-29,21
2020-12-30,30
2020-12-31,41
2021-01-01,39
2021-01-02,34
2021-01-03,23
2021-01-04,10
2021-01-05,42
2021-01-06,26
2021-01-07,35
2021-01-08,31
2021-01-09,29
2021-01-10,31
2021-01-11,49
2021-01-12,41
2021-01-13,46
2021-01-14,23
2021-01-15,53
2021-01-16,9
2021-01-17,47
2021-01-18,19
2021-01-19,33
2021-01-20,45
2021-01-21,44
2021-01-22,36
2021-01-23,48
2021-01-24,48
2021-01-25,24
2021-01-26,27
2021-01-27,38
2021-01-28,54
2021-01-29,48
2021-01-30,40
2021-01-31,28
