Category: All categories

Day,Mask: (Virginia)
2020-10-09,74
2020-10-10,74
2020-10-11,83
2020-10-12,59
2020-10-13,71
2020-10-14,72
2020-10-15,65
2020-10-16,67
2020-10-17,83
2020-10-18,72
2020-10-19,75
2020-10-20,64
2020-10-21,74
2020-10-22,60
2020-10-23,90
2020-10-24,87
2020-10-25,77
2020-10-26,80
2020-10-27,74
2020-10-28,64
2020-10-29,81
2020-10-30,64
2020-10-31,82
2020-11-01,61
2020-11-02,71
2020-11-03,58
2020-11-04,34
2020-11-05,45
2020-11-06,32
2020-11-07,41
2020-11-08,61
2020-11-09,63
2020-11-10,54
2020-11-11,49
2020-11-12,57
2020-11-13,66
2020-11-14,77
2020-11-15,81
2020-11-16,72
2020-11-17,66
2020-11-18,88
2020-11-19,51
2020-11-20,66
2020-11-21,73
2020-11-22,57
2020-11-23,68
2020-11-24,67
2020-11-25,67
2020-11-26,56
2020-11-27,60
2020-11-28,49
2020-11-29,64
2020-11-30,60
2020-12-01,43
2020-12-02,71
2020-12-03,73
2020-12-04,69
2020-12-05,74
2020-12-06,72
2020-12-07,59
2020-12-08,61
2020-12-09,66
2020-12-10,67
2020-12-11,78
2020-12-12,68
2020-12-13,69
2020-12-14,52
2020-12-15,59
2020-12-16,48
2020-12-17,56
2020-12-18,38
2020-12-19,60
2020-12-20,53
2020-12-21,54
2020-12-22,63
2020-12-23,68
2020-12-24,41
2020-12-25,32
2020-12-26,45
2020-12-27,51
2020-12-28,60
2020-12-29,43
2020-12-30,55
2020-12-31,41
2021-01-01,41
2021-01-02,54
2021-01-03,60
2021-01-04,54
2021-01-05,57
2021-01-06,58
2021-01-07,52
2021-01-08,52
2021-01-09,46
2021-01-10,54
2021-01-11,44
2021-01-12,56
2021-01-13,45
2021-01-14,50
2021-01-15,55
2021-01-16,65
2021-01-17,57
2021-01-18,59
2021-01-19,61
2021-01-20,68
2021-01-21,91
2021-01-22,82
2021-01-23,98
2021-01-24,82
2021-01-25,68
2021-01-26,85
2021-01-27,100
2021-01-28,82
2021-01-29,69
2021-01-30,73
2021-01-31,56
