Category: All categories

Day,Mask: (Vermont)
2020-10-09,57
2020-10-10,0
2020-10-11,46
2020-10-12,27
2020-10-13,44
2020-10-14,10
2020-10-15,53
2020-10-16,27
2020-10-17,61
2020-10-18,49
2020-10-19,94
2020-10-20,49
2020-10-21,38
2020-10-22,19
2020-10-23,10
2020-10-24,31
2020-10-25,30
2020-10-26,27
2020-10-27,37
2020-10-28,37
2020-10-29,29
2020-10-30,39
2020-10-31,100
2020-11-01,50
2020-11-02,55
2020-11-03,44
2020-11-04,30
2020-11-05,0
2020-11-06,54
2020-11-07,9
2020-11-08,0
2020-11-09,54
2020-11-10,19
2020-11-11,28
2020-11-12,27
2020-11-13,37
2020-11-14,82
2020-11-15,49
2020-11-16,44
2020-11-17,47
2020-11-18,84
2020-11-19,65
2020-11-20,19
2020-11-21,51
2020-11-22,38
2020-11-23,9
2020-11-24,49
2020-11-25,78
2020-11-26,0
2020-11-27,37
2020-11-28,56
2020-11-29,47
2020-11-30,27
2020-12-01,29
2020-12-02,28
2020-12-03,29
2020-12-04,19
2020-12-05,28
2020-12-06,87
2020-12-07,28
2020-12-08,49
2020-12-09,38
2020-12-10,39
2020-12-11,10
2020-12-12,20
2020-12-13,30
2020-12-14,28
2020-12-15,28
2020-12-16,20
2020-12-17,29
2020-12-18,10
2020-12-19,0
2020-12-20,29
2020-12-21,27
2020-12-22,0
2020-12-23,10
2020-12-24,40
2020-12-25,21
2020-12-26,10
2020-12-27,46
2020-12-28,17
2020-12-29,42
2020-12-30,26
2020-12-31,35
2021-01-01,36
2021-01-02,18
2021-01-03,29
2021-01-04,27
2021-01-05,18
2021-01-06,27
2021-01-07,9
2021-01-08,18
2021-01-09,46
2021-01-10,53
2021-01-11,0
2021-01-12,19
2021-01-13,45
2021-01-14,39
2021-01-15,19
2021-01-16,37
2021-01-17,36
2021-01-18,46
2021-01-19,19
2021-01-20,9
2021-01-21,47
2021-01-22,38
2021-01-23,66
2021-01-24,46
2021-01-25,43
2021-01-26,47
2021-01-27,28
2021-01-28,56
2021-01-29,37
2021-01-30,28
2021-01-31,60
