Category: All categories

Day,Mask: (Washington)
2020-10-09,63
2020-10-10,73
2020-10-11,49
2020-10-12,88
2020-10-13,71
2020-10-14,69
2020-10-15,74
2020-10-16,61
2020-10-17,57
2020-10-18,64
2020-10-19,69
2020-10-20,66
2020-10-21,62
2020-10-22,75
2020-10-23,88
2020-10-24,54
2020-10-25,71
2020-10-26,76
2020-10-27,77
2020-10-28,76
2020-10-29,69
2020-10-30,100
2020-10-31,82
2020-11-01,66
2020-11-02,50
2020-11-03,44
2020-11-04,24
2020-11-05,40
2020-11-06,54
2020-11-07,63
2020-11-08,58
2020-11-09,72
2020-11-10,73
2020-11-11,53
2020-11-12,73
2020-11-13,69
2020-11-14,80
2020-11-15,84
2020-11-16,74
2020-11-17,70
2020-11-18,74
2020-11-19,65
2020-11-20,88
2020-11-21,73
2020-11-22,88
2020-11-23,64
2020-11-24,55
2020-11-25,61
2020-11-26,54
2020-11-27,75
2020-11-28,68
2020-11-29,54
2020-11-30,57
2020-12-01,55
2020-12-02,77
2020-12-03,71
2020-12-04,54
2020-12-05,61
2020-12-06,55
2020-12-07,62
2020-12-08,65
2020-12-09,57
2020-12-10,63
2020-12-11,61
2020-12-12,72
2020-12-13,72
2020-12-14,69
2020-12-15,73
2020-12-16,62
2020-12-17,59
2020-12-18,55
2020-12-19,66
2020-12-20,58
2020-12-21,49
2020-12-22,50
2020-12-23,66
2020-12-24,44
2020-12-25,47
2020-12-26,31
2020-12-27,34
2020-12-28,65
2020-12-29,47
2020-12-30,52
2020-12-31,45
2021-01-01,64
2021-01-02,55
2021-01-03,56
2021-01-04,51
2021-01-05,36
2021-01-06,42
2021-01-07,45
2021-01-08,57
2021-01-09,53
2021-01-10,44
2021-01-11,48
2021-01-12,53
2021-01-13,65
2021-01-14,58
2021-01-15,64
2021-01-16,62
2021-01-17,64
2021-01-18,70
2021-01-19,59
2021-01-20,54
2021-01-21,58
2021-01-22,71
2021-01-23,80
2021-01-24,74
2021-01-25,73
2021-01-26,100
2021-01-27,68
2021-01-28,78
2021-01-29,86
2021-01-30,90
2021-01-31,82
