Category: All categories

Day,Mask: (Wisconsin)
2020-10-09,40
2020-10-10,50
2020-10-11,37
2020-10-12,40
2020-10-13,44
2020-10-14,50
2020-10-15,48
2020-10-16,44
2020-10-17,47
2020-10-18,40
2020-10-19,40
2020-10-20,44
2020-10-21,37
2020-10-22,40
2020-10-23,40
2020-10-24,38
2020-10-25,42
2020-10-26,54
2020-10-27,53
2020-10-28,47
2020-10-29,44
2020-10-30,51
2020-10-31,48
2020-11-01,30
2020-11-02,45
2020-11-03,43
2020-11-04,24
2020-11-05,25
2020-11-06,39
2020-11-07,29
2020-11-08,41
2020-11-09,34
2020-11-10,37
2020-11-11,37
2020-11-12,32
2020-11-13,33
2020-11-14,35
2020-11-15,47
2020-11-16,42
2020-11-17,48
2020-11-18,54
2020-11-19,47
2020-11-20,38
2020-11-21,54
2020-11-22,41
2020-11-23,44
2020-11-24,36
2020-11-25,36
2020-11-26,32
2020-11-27,30
2020-11-28,34
2020-11-29,39
2020-11-30,30
2020-12-01,34
2020-12-02,36
2020-12-03,29
2020-12-04,34
2020-12-05,18
2020-12-06,38
2020-12-07,36
2020-12-08,35
2020-12-09,25
2020-12-10,35
2020-12-11,26
2020-12-12,26
2020-12-13,22
2020-12-14,20
2020-12-15,28
2020-12-16,26
2020-12-17,26
2020-12-18,40
2020-12-19,26
2020-12-20,35
2020-12-21,23
2020-12-22,28
2020-12-23,18
2020-12-24,32
2020-12-25,23
2020-12-26,17
2020-12-27,40
2020-12-28,19
2020-12-29,30
2020-12-30,29
2020-12-31,28
2021-01-01,26
2021-01-02,39
2021-01-03,38
2021-01-04,33
2021-01-05,20
2021-01-06,25
2021-01-07,34
2021-01-08,21
2021-01-09,21
2021-01-10,31
2021-01-11,29
2021-01-12,36
2021-01-13,36
2021-01-14,29
2021-01-15,35
2021-01-16,30
2021-01-17,33
2021-01-18,33
2021-01-19,37
2021-01-20,33
2021-01-21,34
2021-01-22,44
2021-01-23,42
2021-01-24,47
2021-01-25,44
2021-01-26,41
2021-01-27,56
2021-01-28,100
2021-01-29,54
2021-01-30,46
2021-01-31,34
