Category: All categories

Day,Mask: (West Virginia)
2020-10-09,44
2020-10-10,37
2020-10-11,36
2020-10-12,22
2020-10-13,58
2020-10-14,42
2020-10-15,47
2020-10-16,38
2020-10-17,30
2020-10-18,39
2020-10-19,37
2020-10-20,19
2020-10-21,47
2020-10-22,31
2020-10-23,12
2020-10-24,29
2020-10-25,28
2020-10-26,33
2020-10-27,37
2020-10-28,30
2020-10-29,22
2020-10-30,35
2020-10-31,44
2020-11-01,21
2020-11-02,40
2020-11-03,19
2020-11-04,21
2020-11-05,22
2020-11-06,25
2020-11-07,19
2020-11-08,20
2020-11-09,21
2020-11-10,7
2020-11-11,11
2020-11-12,21
2020-11-13,51
2020-11-14,100
2020-11-15,39
2020-11-16,71
2020-11-17,62
2020-11-18,41
2020-11-19,33
2020-11-20,38
2020-11-21,24
2020-11-22,27
2020-11-23,35
2020-11-24,8
2020-11-25,47
2020-11-26,16
2020-11-27,19
2020-11-28,12
2020-11-29,16
2020-11-30,21
2020-12-01,43
2020-12-02,18
2020-12-03,40
2020-12-04,33
2020-12-05,32
2020-12-06,45
2020-12-07,25
2020-12-08,24
2020-12-09,25
2020-12-10,36
2020-12-11,15
2020-12-12,24
2020-12-13,39
2020-12-14,10
2020-12-15,25
2020-12-16,22
2020-12-17,18
2020-12-18,31
2020-12-19,33
2020-12-20,21
2020-12-21,36
2020-12-22,11
2020-12-23,16
2020-12-24,13
2020-12-25,5
2020-12-26,8
2020-12-27,31
2020-12-28,7
2020-12-29,23
2020-12-30,11
2020-12-31,25
2021-01-01,15
2021-01-02,11
2021-01-03,19
2021-01-04,24
2021-01-05,10
2021-01-06,27
2021-01-07,39
2021-01-08,25
2021-01-09,15
2021-01-10,27
2021-01-11,26
2021-01-12,58
2021-01-13,14
2021-01-14,18
2021-01-15,22
2021-01-16,54
2021-01-17,36
2021-01-18,33
2021-01-19,35
2021-01-20,24
2021-01-21,35
2021-01-22,18
2021-01-23,27
2021-01-24,35
2021-01-25,31
2021-01-26,40
2021-01-27,29
2021-01-28,40
2021-01-29,39
2021-01-30,24
2021-01-31,34
