,time_value,trend,geo_value
0,2020-10-09,20,ak
1,2020-10-09,57,al
2,2020-10-09,45,ar
3,2020-10-09,80,az
4,2020-10-09,69,ca
5,2020-10-09,82,co
6,2020-10-09,40,ct
7,2020-10-09,67,dc
8,2020-10-09,48,de
9,2020-10-09,79,fl
10,2020-10-09,71,ga
11,2020-10-09,26,hi
12,2020-10-09,54,ia
13,2020-10-09,36,id
14,2020-10-09,92,il
15,2020-10-09,61,in
16,2020-10-09,97,ks
17,2020-10-09,90,ky
18,2020-10-09,53,la
19,2020-10-09,84,ma
20,2020-10-09,60,md
21,2020-10-09,60,me
22,2020-10-09,89,mi
23,2020-10-09,67,mn
24,2020-10-09,57,mo
25,2020-10-09,32,ms
26,2020-10-09,15,mt
27,2020-10-09,52,nc
28,2020-10-09,26,nd
29,2020-10-09,32,ne
30,2020-10-09,15,nh
31,2020-10-09,67,nj
32,2020-10-09,68,nm
33,2020-10-09,69,nv
34,2020-10-09,97,ny
35,2020-10-09,65,oh
36,2020-10-09,64,ok
37,2020-10-09,52,or
38,2020-10-09,52,pa
39,2020-10-09,17,ri
40,2020-10-09,55,sc
41,2020-10-09,43,sd
42,2020-10-09,65,tn
43,2020-10-09,74,tx
44,2020-10-09,78,us
45,2020-10-09,46,ut
46,2020-10-09,74,va
47,2020-10-09,57,vt
48,2020-10-09,63,wa
49,2020-10-09,40,wi
50,2020-10-09,44,wv
51,2020-10-09,20,wy
52,2020-10-10,24,ak
53,2020-10-10,53,al
54,2020-10-10,58,ar
55,2020-10-10,79,az
56,2020-10-10,84,ca
57,2020-10-10,75,co
58,2020-10-10,62,ct
59,2020-10-10,75,dc
60,2020-10-10,34,de
61,2020-10-10,91,fl
62,2020-10-10,97,ga
63,2020-10-10,45,hi
64,2020-10-10,40,ia
65,2020-10-10,29,id
66,2020-10-10,76,il
67,2020-10-10,65,in
68,2020-10-10,60,ks
69,2020-10-10,72,ky
70,2020-10-10,84,la
71,2020-10-10,84,ma
72,2020-10-10,70,md
73,2020-10-10,35,me
74,2020-10-10,83,mi
75,2020-10-10,57,mn
76,2020-10-10,71,mo
77,2020-10-10,47,ms
78,2020-10-10,43,mt
79,2020-10-10,66,nc
80,2020-10-10,49,nd
81,2020-10-10,20,ne
82,2020-10-10,10,nh
83,2020-10-10,70,nj
84,2020-10-10,45,nm
85,2020-10-10,62,nv
86,2020-10-10,90,ny
87,2020-10-10,63,oh
88,2020-10-10,52,ok
89,2020-10-10,72,or
90,2020-10-10,41,pa
91,2020-10-10,31,ri
92,2020-10-10,54,sc
93,2020-10-10,16,sd
94,2020-10-10,72,tn
95,2020-10-10,69,tx
96,2020-10-10,84,us
97,2020-10-10,27,ut
98,2020-10-10,74,va
99,2020-10-10,0,vt
100,2020-10-10,73,wa
101,2020-10-10,50,wi
102,2020-10-10,37,wv
103,2020-10-10,31,wy
104,2020-10-11,37,ak
105,2020-10-11,57,al
106,2020-10-11,39,ar
107,2020-10-11,83,az
108,2020-10-11,78,ca
109,2020-10-11,88,co
110,2020-10-11,57,ct
111,2020-10-11,67,dc
112,2020-10-11,77,de
113,2020-10-11,88,fl
114,2020-10-11,82,ga
115,2020-10-11,52,hi
116,2020-10-11,41,ia
117,2020-10-11,42,id
118,2020-10-11,90,il
119,2020-10-11,75,in
120,2020-10-11,66,ks
121,2020-10-11,74,ky
122,2020-10-11,66,la
123,2020-10-11,90,ma
124,2020-10-11,67,md
125,2020-10-11,48,me
126,2020-10-11,87,mi
127,2020-10-11,62,mn
128,2020-10-11,46,mo
129,2020-10-11,70,ms
130,2020-10-11,16,mt
131,2020-10-11,51,nc
132,2020-10-11,17,nd
133,2020-10-11,40,ne
134,2020-10-11,41,nh
135,2020-10-11,84,nj
136,2020-10-11,59,nm
137,2020-10-11,67,nv
138,2020-10-11,86,ny
139,2020-10-11,58,oh
140,2020-10-11,60,ok
141,2020-10-11,99,or
142,2020-10-11,42,pa
143,2020-10-11,18,ri
144,2020-10-11,57,sc
145,2020-10-11,22,sd
146,2020-10-11,86,tn
147,2020-10-11,61,tx
148,2020-10-11,83,us
149,2020-10-11,53,ut
150,2020-10-11,83,va
151,2020-10-11,46,vt
152,2020-10-11,49,wa
153,2020-10-11,37,wi
154,2020-10-11,36,wv
155,2020-10-11,39,wy
156,2020-10-12,62,ak
157,2020-10-12,78,al
158,2020-10-12,48,ar
159,2020-10-12,72,az
160,2020-10-12,73,ca
161,2020-10-12,76,co
162,2020-10-12,42,ct
163,2020-10-12,63,dc
164,2020-10-12,42,de
165,2020-10-12,87,fl
166,2020-10-12,69,ga
167,2020-10-12,51,hi
168,2020-10-12,30,ia
169,2020-10-12,51,id
170,2020-10-12,67,il
171,2020-10-12,56,in
172,2020-10-12,52,ks
173,2020-10-12,60,ky
174,2020-10-12,39,la
175,2020-10-12,84,ma
176,2020-10-12,58,md
177,2020-10-12,21,me
178,2020-10-12,74,mi
179,2020-10-12,59,mn
180,2020-10-12,69,mo
181,2020-10-12,75,ms
182,2020-10-12,35,mt
183,2020-10-12,52,nc
184,2020-10-12,43,nd
185,2020-10-12,49,ne
186,2020-10-12,17,nh
187,2020-10-12,63,nj
188,2020-10-12,70,nm
189,2020-10-12,48,nv
190,2020-10-12,76,ny
191,2020-10-12,41,oh
192,2020-10-12,52,ok
193,2020-10-12,72,or
194,2020-10-12,46,pa
195,2020-10-12,50,ri
196,2020-10-12,66,sc
197,2020-10-12,14,sd
198,2020-10-12,62,tn
199,2020-10-12,71,tx
200,2020-10-12,73,us
201,2020-10-12,37,ut
202,2020-10-12,59,va
203,2020-10-12,27,vt
204,2020-10-12,88,wa
205,2020-10-12,40,wi
206,2020-10-12,22,wv
207,2020-10-12,53,wy
208,2020-10-13,0,ak
209,2020-10-13,64,al
210,2020-10-13,49,ar
211,2020-10-13,80,az
212,2020-10-13,72,ca
213,2020-10-13,58,co
214,2020-10-13,55,ct
215,2020-10-13,63,dc
216,2020-10-13,45,de
217,2020-10-13,90,fl
218,2020-10-13,59,ga
219,2020-10-13,42,hi
220,2020-10-13,49,ia
221,2020-10-13,39,id
222,2020-10-13,85,il
223,2020-10-13,77,in
224,2020-10-13,37,ks
225,2020-10-13,51,ky
226,2020-10-13,76,la
227,2020-10-13,72,ma
228,2020-10-13,96,md
229,2020-10-13,45,me
230,2020-10-13,85,mi
231,2020-10-13,59,mn
232,2020-10-13,53,mo
233,2020-10-13,61,ms
234,2020-10-13,91,mt
235,2020-10-13,57,nc
236,2020-10-13,24,nd
237,2020-10-13,54,ne
238,2020-10-13,28,nh
239,2020-10-13,83,nj
240,2020-10-13,49,nm
241,2020-10-13,84,nv
242,2020-10-13,74,ny
243,2020-10-13,52,oh
244,2020-10-13,39,ok
245,2020-10-13,85,or
246,2020-10-13,49,pa
247,2020-10-13,27,ri
248,2020-10-13,54,sc
249,2020-10-13,53,sd
250,2020-10-13,85,tn
251,2020-10-13,63,tx
252,2020-10-13,77,us
253,2020-10-13,46,ut
254,2020-10-13,71,va
255,2020-10-13,44,vt
256,2020-10-13,71,wa
257,2020-10-13,44,wi
258,2020-10-13,58,wv
259,2020-10-13,55,wy
260,2020-10-14,32,ak
261,2020-10-14,61,al
262,2020-10-14,69,ar
263,2020-10-14,61,az
264,2020-10-14,65,ca
265,2020-10-14,53,co
266,2020-10-14,60,ct
267,2020-10-14,65,dc
268,2020-10-14,39,de
269,2020-10-14,74,fl
270,2020-10-14,74,ga
271,2020-10-14,36,hi
272,2020-10-14,43,ia
273,2020-10-14,40,id
274,2020-10-14,75,il
275,2020-10-14,75,in
276,2020-10-14,45,ks
277,2020-10-14,73,ky
278,2020-10-14,66,la
279,2020-10-14,62,ma
280,2020-10-14,64,md
281,2020-10-14,49,me
282,2020-10-14,63,mi
283,2020-10-14,44,mn
284,2020-10-14,65,mo
285,2020-10-14,56,ms
286,2020-10-14,65,mt
287,2020-10-14,50,nc
288,2020-10-14,19,nd
289,2020-10-14,77,ne
290,2020-10-14,9,nh
291,2020-10-14,84,nj
292,2020-10-14,50,nm
293,2020-10-14,46,nv
294,2020-10-14,77,ny
295,2020-10-14,61,oh
296,2020-10-14,47,ok
297,2020-10-14,60,or
298,2020-10-14,49,pa
299,2020-10-14,67,ri
300,2020-10-14,60,sc
301,2020-10-14,20,sd
302,2020-10-14,86,tn
303,2020-10-14,63,tx
304,2020-10-14,82,us
305,2020-10-14,39,ut
306,2020-10-14,72,va
307,2020-10-14,10,vt
308,2020-10-14,69,wa
309,2020-10-14,50,wi
310,2020-10-14,42,wv
311,2020-10-14,36,wy
312,2020-10-15,41,ak
313,2020-10-15,68,al
314,2020-10-15,49,ar
315,2020-10-15,59,az
316,2020-10-15,75,ca
317,2020-10-15,57,co
318,2020-10-15,58,ct
319,2020-10-15,54,dc
320,2020-10-15,46,de
321,2020-10-15,89,fl
322,2020-10-15,63,ga
323,2020-10-15,85,hi
324,2020-10-15,43,ia
325,2020-10-15,44,id
326,2020-10-15,73,il
327,2020-10-15,98,in
328,2020-10-15,38,ks
329,2020-10-15,87,ky
330,2020-10-15,69,la
331,2020-10-15,75,ma
332,2020-10-15,45,md
333,2020-10-15,33,me
334,2020-10-15,75,mi
335,2020-10-15,68,mn
336,2020-10-15,85,mo
337,2020-10-15,49,ms
338,2020-10-15,44,mt
339,2020-10-15,55,nc
340,2020-10-15,25,nd
341,2020-10-15,32,ne
342,2020-10-15,46,nh
343,2020-10-15,72,nj
344,2020-10-15,61,nm
345,2020-10-15,49,nv
346,2020-10-15,75,ny
347,2020-10-15,64,oh
348,2020-10-15,74,ok
349,2020-10-15,69,or
350,2020-10-15,53,pa
351,2020-10-15,51,ri
352,2020-10-15,55,sc
353,2020-10-15,34,sd
354,2020-10-15,74,tn
355,2020-10-15,75,tx
356,2020-10-15,80,us
357,2020-10-15,49,ut
358,2020-10-15,65,va
359,2020-10-15,53,vt
360,2020-10-15,74,wa
361,2020-10-15,48,wi
362,2020-10-15,47,wv
363,2020-10-15,9,wy
364,2020-10-16,22,ak
365,2020-10-16,73,al
366,2020-10-16,81,ar
367,2020-10-16,88,az
368,2020-10-16,69,ca
369,2020-10-16,87,co
370,2020-10-16,59,ct
371,2020-10-16,62,dc
372,2020-10-16,61,de
373,2020-10-16,92,fl
374,2020-10-16,77,ga
375,2020-10-16,52,hi
376,2020-10-16,35,ia
377,2020-10-16,31,id
378,2020-10-16,80,il
379,2020-10-16,63,in
380,2020-10-16,66,ks
381,2020-10-16,79,ky
382,2020-10-16,65,la
383,2020-10-16,67,ma
384,2020-10-16,87,md
385,2020-10-16,52,me
386,2020-10-16,75,mi
387,2020-10-16,76,mn
388,2020-10-16,69,mo
389,2020-10-16,76,ms
390,2020-10-16,54,mt
391,2020-10-16,50,nc
392,2020-10-16,20,nd
393,2020-10-16,52,ne
394,2020-10-16,40,nh
395,2020-10-16,86,nj
396,2020-10-16,62,nm
397,2020-10-16,54,nv
398,2020-10-16,72,ny
399,2020-10-16,69,oh
400,2020-10-16,60,ok
401,2020-10-16,73,or
402,2020-10-16,53,pa
403,2020-10-16,67,ri
404,2020-10-16,58,sc
405,2020-10-16,28,sd
406,2020-10-16,87,tn
407,2020-10-16,81,tx
408,2020-10-16,83,us
409,2020-10-16,56,ut
410,2020-10-16,67,va
411,2020-10-16,27,vt
412,2020-10-16,61,wa
413,2020-10-16,44,wi
414,2020-10-16,38,wv
415,2020-10-16,19,wy
416,2020-10-17,48,ak
417,2020-10-17,79,al
418,2020-10-17,68,ar
419,2020-10-17,60,az
420,2020-10-17,78,ca
421,2020-10-17,100,co
422,2020-10-17,71,ct
423,2020-10-17,77,dc
424,2020-10-17,44,de
425,2020-10-17,84,fl
426,2020-10-17,69,ga
427,2020-10-17,51,hi
428,2020-10-17,60,ia
429,2020-10-17,50,id
430,2020-10-17,77,il
431,2020-10-17,100,in
432,2020-10-17,84,ks
433,2020-10-17,59,ky
434,2020-10-17,87,la
435,2020-10-17,72,ma
436,2020-10-17,82,md
437,2020-10-17,27,me
438,2020-10-17,100,mi
439,2020-10-17,82,mn
440,2020-10-17,55,mo
441,2020-10-17,51,ms
442,2020-10-17,32,mt
443,2020-10-17,58,nc
444,2020-10-17,29,nd
445,2020-10-17,82,ne
446,2020-10-17,28,nh
447,2020-10-17,77,nj
448,2020-10-17,55,nm
449,2020-10-17,50,nv
450,2020-10-17,85,ny
451,2020-10-17,59,oh
452,2020-10-17,55,ok
453,2020-10-17,68,or
454,2020-10-17,51,pa
455,2020-10-17,19,ri
456,2020-10-17,53,sc
457,2020-10-17,22,sd
