,geo_value,time_value,value,sample_size,trend
0,ak,2020-12-27,70.7026,796.0,0
1,al,2020-12-27,61.3675,3883.102,0
2,ar,2020-12-27,66.4026,2809.9308,0
3,az,2020-12-27,73.3282,5266.9418,0
4,ca,2020-12-27,77.7706,24536.767,16
5,co,2020-12-27,77.3479,4799.875,0
6,ct,2020-12-27,79.6282,3845.0,17
7,dc,2020-12-27,83.3333,374.0,13
8,de,2020-12-27,75.7644,1111.0,0
9,fl,2020-12-27,68.6928,15833.9992,17
10,ga,2020-12-27,62.4798,5567.9436,13
11,hi,2020-12-27,75.5669,881.0,0
12,ia,2020-12-27,73.1291,3439.3593,27
13,id,2020-12-27,67.3252,1867.4229,0
14,il,2020-12-27,73.3329,10572.0448,15
15,in,2020-12-27,67.7316,6087.0091,31
16,ks,2020-12-27,70.3778,2860.0295,0
17,ky,2020-12-27,67.8171,3934.5053,19
18,la,2020-12-27,59.7828,3745.3674,0
19,ma,2020-12-27,80.5033,5105.0085,9
20,md,2020-12-27,77.2705,4061.997,0
21,me,2020-12-27,75.4197,1905.0,0
22,mi,2020-12-27,71.5701,10437.055,10
23,mn,2020-12-27,78.532,4348.4567,0
24,mo,2020-12-27,68.2351,4923.9841,0
25,ms,2020-12-27,59.9343,2504.4575,0
26,mt,2020-12-27,69.8519,1312.4043,0
27,nc,2020-12-27,68.2057,9150.0108,20
28,nd,2020-12-27,63.1074,695.5309,0
29,ne,2020-12-27,74.158,1807.8896,0
30,nh,2020-12-27,76.965,1742.0,49
31,nj,2020-12-27,75.0918,5717.997,26
32,nm,2020-12-27,75.7077,2216.9481,0
33,nv,2020-12-27,70.6604,2017.5852,34
34,ny,2020-12-27,73.7898,12580.0009,10
35,oh,2020-12-27,67.524,10943.9961,7
36,ok,2020-12-27,65.1427,4077.0534,0
37,or,2020-12-27,74.7119,3999.495,17
38,pa,2020-12-27,72.033,11829.0052,22
39,ri,2020-12-27,80.1235,1052.9915,0
40,sc,2020-12-27,65.3193,5182.0011,0
41,sd,2020-12-27,70.9226,959.921,49
42,tn,2020-12-27,65.9334,6264.4683,15
43,tx,2020-12-27,68.8391,18219.0551,21
44,us,2020-12-27,71.6439,261347.2674,26
45,ut,2020-12-27,72.8257,2706.0004,0
46,va,2020-12-27,74.3655,7664.673,36
47,vt,2020-12-27,81.5823,789.0008,0
48,wa,2020-12-27,79.0991,6469.9696,12
49,wi,2020-12-27,73.8119,5384.9468,0
50,wv,2020-12-27,67.3622,2424.1064,0
51,wy,2020-12-27,62.3441,642.9604,0
52,ak,2020-12-28,69.5312,831.0,0
53,al,2020-12-28,60.4697,4025.1075,0
54,ar,2020-12-28,66.4819,2935.9373,0
55,az,2020-12-28,73.2337,5424.2878,0
56,ca,2020-12-28,77.8516,25294.767,18
57,co,2020-12-28,77.4532,5012.7208,22
58,ct,2020-12-28,79.9717,3886.0,0
